category	authors	title	venue	year	pmid	doi	pmcid	url	fulltext_xml	topics	status
n803_anktiva_bladder		Nogapendekin alfa inbakicept with BCG for non-muscle-invasive bladder cancer with carcinoma in situ that is unresponsive to BCG (terminated evaluation)	National Institute for Health and Care Excellence (NICE), London	2026	42672515			https://pubmed.ncbi.nlm.nih.gov/42672515/		bladder_cancer;n803_alt803;review	metadata_only
n803_anktiva_bladder	Abou Chakra M, Duquesne I, O'Donnell MA.	Decoding Immune Mechanisms in BCG-unresponsive Non-muscle Invasive Bladder Cancer	Frontiers in bioscience (Landmark edition)	2026	42216552	10.31083/fbl47606		https://doi.org/10.31083/fbl47606		bladder_cancer;clinical;intravesical;n803_alt803;quantitative;review	metadata_only
n803_anktiva_bladder	Alasker A, Alghafees M, Nammor T, Alanazi N, Alferayan T, Almanie A, Alrashed M, Almarzouq Y, Alammari A.	Immunotherapy in bladder cancer: a systematic review of clinical trials and therapeutic advances	BMC urology	2026	42260513	10.1186/s12894-026-02209-y		https://doi.org/10.1186/s12894-026-02209-y		bladder_cancer;clinical;intravesical;n803_alt803;quantitative;review	metadata_only
n803_anktiva_bladder	Chang SS, Chamie K, Seabury CA, Gonzalgo ML, Agarwal PK, Bassett JC, Bjurlin M, Cher ML, Clark W, Cowan BE, David R, Goldfischer E, Guru K, Jalkut MW, Kaffenberger SD, Kaminetsky J, Corcoran A, Koo AS, Sexton WJ, Tikhonenkov SN, Shah MS, Trabulsi EJ, Trainer AF, Spilman P, Drusbosky LM, Brown B, Huang M, Bhar P, Sender L, Reddy S, Soon-Shiong P.	Durable Responses and Cystectomy Avoidance with IL-15 Receptor Agonist NAI plus BCG in BCG-Unresponsive NMIBC with Carcinoma In Situ ± Papillary Disease	The Journal of urology	2026	42406609	10.1097/ju.0000000000005198		https://doi.org/10.1097/ju.0000000000005198		bladder_cancer;clinical;intravesical;n803_alt803;quantitative	metadata_only
n803_anktiva_bladder	Chang SS, Chamie K, Kramolowsky E, Gonzalgo ML, Agarwal PK, Bassett JC, Bjurlin M, Cher ML, Clark W, Cowan BE, David R, Goldfischer E, Guru K, Jalkut MW, Kaffenberger SD, Kaminetsky J, Corcoran A, Koo AS, Sexton WJ, Tikhonenkov SN, Shah MS, Trabulsi EJ, Trainer AF, Spilman P, Huang M, Bhar P, Drusbosky LM, Sender L, Brown B, Reddy S, Soon-Shiong P.	Prolonged Progression-Free Survival, Disease-Free Survival, and Cystectomy Avoidance With IL-15 Receptor Lymphocyte-Stimulating Agent NAI Plus Bacillus Calmette-Guérin in Bacillus Calmette-Guérin-Unresponsive Papillary-Only Nonmuscle-Invasive Bladder Cancer	The Journal of urology	2026	40956664	10.1097/ju.0000000000004782	PMC12708036	https://pmc.ncbi.nlm.nih.gov/articles/PMC12708036/	fulltext/chang_2026_pmid40956664.xml	bladder_cancer;clinical;intravesical;n803_alt803;quantitative	fulltext_xml
n803_anktiva_bladder	Grier AL, Zhong JY, Basourakos S, Calaway A, Singh P, Zakharia Y, Lucien F, Karnes RJ, Sharma V, Shah P, Costello BA, Pagliaro LC, Orme JJ, Brown JR, Jang A.	Recent Advances in Immunotherapy for Non-Muscle-Invasive Bladder Cancer	Cancers	2026	41749876	10.3390/cancers18040623	PMC12938786	https://pmc.ncbi.nlm.nih.gov/articles/PMC12938786/	fulltext/grier_2026_pmid41749876.xml	bladder_cancer;intravesical;n803_alt803;quantitative;review	fulltext_xml
n803_anktiva_bladder	Lee YHA, Wong CM, Liu AQ, Teoh JY.	The future of urothelial carcinoma: a 2024-2025 update of early-phase trials of novel therapeutic agents	Current opinion in urology	2026	41861349	10.1097/mou.0000000000001388	PMC13048309	https://pmc.ncbi.nlm.nih.gov/articles/PMC13048309/	fulltext/lee_2026_pmid41861349.xml	bladder_cancer;intravesical;n803_alt803;review	fulltext_xml
n803_anktiva_bladder	Lister-Whelan R, Senior E, Kendall J, Oughton JB, Collinson F, Griffin J, Hubbard R, Kennish S, Noon A, Rosario DJ, Riaz IB, Telliez J, Catto JWF, Hussain SA.	INtraVESical immunoTherapy (INVEST) prior to radical cystectomy for bladder cancer: trial protocol	BJU international	2026	42515859	10.1111/bju.70387		https://doi.org/10.1111/bju.70387		bladder_cancer;clinical;intravesical;n803_alt803;pharmacokinetics;systemic_toxicity	metadata_only
n803_anktiva_bladder	Matsushita Y, Tamura A, Masuda T, Hasegawa O, Kodama T, Watanabe S, Watanabe K, Watanabe H, Tamura K, Takemura A, Watanabe S, Motoyama D, Inamoto T.	Deep learning-based automated identification of papillary bladder cancer from endoscopic still images using SE-ResNeXt-50	World journal of urology	2026	42599325	10.1007/s00345-026-06694-6		https://doi.org/10.1007/s00345-026-06694-6		bladder_cancer;intravesical;n803_alt803	metadata_only
n803_anktiva_bladder	Ricciardi G, Tralongo P, Pierconti F, Zuccalà V, Fiorentino V, Pepe L, Ballato M, Ieni A, Rossanese M, Ficarra V, Fadda G, Martini M.	Urothelial Carcinoma In Situ: Advances in Diagnosis and Management	Clinical genitourinary cancer	2026	41422765	10.1016/j.clgc.2025.102478		https://doi.org/10.1016/j.clgc.2025.102478		bladder_cancer;intravesical;n803_alt803;review	metadata_only
n803_anktiva_bladder	Shigehisa R, Fukata S, Inoue K.	[Evolving Pharmacotherapy for Bladder Cancer-From Non-Muscle-Invasive to Metastatic Disease-Development of Novel Therapies for BCG-Unresponsive NMIBC]	Gan to kagaku ryoho. Cancer & chemotherapy	2026	41555169			https://pubmed.ncbi.nlm.nih.gov/41555169/		bladder_cancer;clinical;formulation;intravesical;n803_alt803;quantitative;review	metadata_only
n803_anktiva_bladder	Tang Y, Wang L, Liu H, Zhu Q, Xu C, Zeng H, Chen J.	Advances in intravesical therapy for non-muscle-invasive bladder cancer	Critical reviews in oncology/hematology	2026	41825577	10.1016/j.critrevonc.2026.105271		https://doi.org/10.1016/j.critrevonc.2026.105271		bladder_cancer;formulation;intravesical;n803_alt803;quantitative;review	metadata_only
n803_anktiva_bladder	Wang B, Isali I, Calaway A, Bukavina L.	Emerging Intravesical Therapies for Non-Muscle-Invasive Bladder Cancer	The Urologic clinics of North America	2026	42362299	10.1016/j.ucl.2026.03.005		https://doi.org/10.1016/j.ucl.2026.03.005		bladder_cancer;intravesical;n803_alt803;review	metadata_only
n803_anktiva_bladder	Williams S, Cho S, Morrison L, Joshi K, Pilon D, Gwyn K, Libchaber B, Wong G, Lee F, Desai U, Singhal M.	Cost-per-responder analysis of TAR-200 versus other Food and Drug Administration-approved novel and generic treatments among patients with Bacillus Calmette-Guérin-unresponsive, high-risk, non-muscle-invasive bladder cancer with carcinoma in situ in the United States	Journal of medical economics	2026	42012856	10.1080/13696998.2026.2651037		https://doi.org/10.1080/13696998.2026.2651037		bladder_cancer;clinical;intravesical;n803_alt803;quantitative	metadata_only
n803_anktiva_bladder	Yang M, Chai X, Ye D, Zhao A, Moradi A, Lotan Y.	Budget impact model of nadofaragene firadenovec for the treatment of high-risk non-muscle-invasive bladder cancer that is unresponsive to Bacillus Calmette-Guérin immunotherapy	Journal of medical economics	2026	41780023	10.1080/13696998.2026.2630599		https://doi.org/10.1080/13696998.2026.2630599		bladder_cancer;n803_alt803	metadata_only
n803_anktiva_bladder	Zhou Y, Yang X, Tian T, Yang B, Cheng J, Liu Y, Tang D, Liu Y, Li Y, Wang F.	Efficacy and safety of combination versus single-agent immunotherapy for BCG-unresponsive non-muscle-invasive bladder cancer	Frontiers in immunology	2026	42582256	10.3389/fimmu.2026.1896444		https://doi.org/10.3389/fimmu.2026.1896444		bladder_cancer;clinical;n803_alt803;quantitative;review	metadata_only
n803_anktiva_bladder	Abou Chakra M, Duquesne I, Mima M, Ohlander S, Kemp AJ, O'Donnell MA.	Male reproductive and sexual health outcomes following intravesical therapy for non-muscle invasive bladder cancer	World journal of urology	2025	41175262	10.1007/s00345-025-06056-8		https://doi.org/10.1007/s00345-025-06056-8		bladder_cancer;intravesical;n803_alt803;pharmacokinetics;review	metadata_only
n803_anktiva_bladder	Albakr A, Narayan VM, Tyson M, Shoskes D, Vasavada S.	Pharmacotherapy for bladder spasm and irritative lower urinary tract symptoms associated with intravesical therapy for bladder cancer: a review of available evidence	Translational andrology and urology	2025	41230142	10.21037/tau-2025-483	PMC12603835	https://pmc.ncbi.nlm.nih.gov/articles/PMC12603835/	fulltext/albakr_2025_pmid41230142.xml	bladder_cancer;formulation;intravesical;n803_alt803;review;systemic_toxicity	fulltext_xml
n803_anktiva_bladder	Artiles Medina A, Subiela JD, Pichler R, Guerrero-Ramos F, Burgos Revilla FJ.	Traditional and next-generation bacillus Calmette-Guérin based treatment strategies for bacillus Calmette-Guérin unresponsive non-muscle-invasive bladder cancer in the era of emerging therapies	Current opinion in urology	2025	40654042	10.1097/mou.0000000000001319		https://doi.org/10.1097/mou.0000000000001319		bladder_cancer;clinical;n803_alt803;quantitative;review	metadata_only
n803_anktiva_bladder	Buzoianu M, Buhas BA, Abou Chakra M, Ionutas E, Borz MB, Crisan N, O'Donnell MA.	A national perspective on the management of high-risk BCG-unresponsive non-muscle-invasive bladder cancer in Romania	Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica	2025	41496691	10.4081/aiua.2025.14596		https://doi.org/10.4081/aiua.2025.14596		bladder_cancer;clinical;intravesical;n803_alt803;quantitative;route_comparison	metadata_only
n803_anktiva_bladder	Grobet-Jeandin E, Rouprêt M, Seisen T.	Novel intravesical therapies and delivery systems for the management of bladder cancer	Current opinion in urology	2025	39376040	10.1097/mou.0000000000001232		https://doi.org/10.1097/mou.0000000000001232		bladder_cancer;clinical;formulation;intravesical;n803_alt803;review	metadata_only
n803_anktiva_bladder	Heiss BL, Chang E, Joeng HK, Fiero MH, Wang L, Hamed SS, Chiu HJ, Ricks TK, Koh EH, Dellibovi-Ragheb TA, Wang M, Lee C, Pierce WF, Leighton JK, Rahman NA, Tang S, Pazdur R, Amiri-Kordestani L, Kluetz PG, Suzman DL.	FDA Approval Summary: Nogapendekin Alfa Inbakicept-pmln with BCG for BCG-Unresponsive Carcinoma In Situ	Clinical cancer research : an official journal of the American Association for Cancer Research	2025	40824697	10.1158/1078-0432.ccr-25-1231	PMC12363661	https://pmc.ncbi.nlm.nih.gov/articles/PMC12363661/	fulltext/heiss_2025_pmid40824697.xml	bladder_cancer;clinical;intravesical;n803_alt803;quantitative	fulltext_xml
n803_anktiva_bladder	Huang X, Wang X, He Z, Huang Y, Hu B, Chen W, Du H.	Mechanisms, Clinical Trials, and New Treatments for BCG-Unresponsive in Nonmuscle Invasive Bladder Cancer	Cancer medicine	2025	40948378	10.1002/cam4.71243	PMC12434483	https://pmc.ncbi.nlm.nih.gov/articles/PMC12434483/	fulltext/huang_2025_pmid40948378.xml	bladder_cancer;clinical;formulation;intravesical;n803_alt803;preclinical;quantitative;review	fulltext_xml
n803_anktiva_bladder	Khattak AA, Javed A, Pokhrel P, Mukhtar S.	Transforming non-muscle invasive bladder cancer (NMIBC) treatment: FDA approval of Anktiva in combination with BCG	Annals of medicine and surgery (2012)	2025	40110262	10.1097/ms9.0000000000002938	PMC11918662	https://pmc.ncbi.nlm.nih.gov/articles/PMC11918662/	fulltext/khattak_2025_pmid40110262.xml	bladder_cancer;n803_alt803	fulltext_xml
n803_anktiva_bladder	Liu B, Wang K, Li Q, Xiao Z, Chen Z, Zhang Y, Wu Y, Xu Y, Wu Y, Liu Z.	Engineered VNP20009 expressing IL-15&15Rα augments anti-tumor immunity for bladder cancer treatment	Biomaterials	2025	39531748	10.1016/j.biomaterials.2024.122951		https://doi.org/10.1016/j.biomaterials.2024.122951		bladder_cancer;clinical;intravesical;n803_alt803	metadata_only
n803_anktiva_bladder	MohanaSundaram A, Raja V, Kamalakannan Y, Islam MA.	Nogapendekin alfa Inbakicept-pmln (Anktiva) with BCG: A Promising Arsenal in BCG-Unresponsive Non-Muscle-Invasive Bladder Cancer Intervention	Advanced pharmaceutical bulletin	2025	40636313	10.34172/apb.43870	PMC12235375	https://pmc.ncbi.nlm.nih.gov/articles/PMC12235375/	fulltext/mohanasundaram_2025_pmid40636313.xml	bladder_cancer;n803_alt803	fulltext_xml
n803_anktiva_bladder	Popli S, Durant AM, Tyson M, Singh P.	Current State of Bladder Preservation in High Grade Non-Muscle Invasive Bladder Cancer and Localized Muscle Invasive Bladder Cancer	Current oncology reports	2025	40304944	10.1007/s11912-025-01657-3		https://doi.org/10.1007/s11912-025-01657-3		bladder_cancer;intravesical;n803_alt803;review	metadata_only
n803_anktiva_bladder	Tang X, Yu T, Tong H, Wu Y.	Advancements in bladder cancer immunotherapy: a focus on intravesical approaches	Frontiers in pharmacology	2025	40697667	10.3389/fphar.2025.1578146	PMC12279809	https://pmc.ncbi.nlm.nih.gov/articles/PMC12279809/	fulltext/tang_2025_pmid40697667.xml	bladder_cancer;clinical;intravesical;n803_alt803;review	fulltext_xml
n803_anktiva_bladder	Zeng Q, Kong W, Qin Y, Song L, Liu N, Liu Z, Ji C, Qi G, Shi W, Lu H.	Cis-delivering releasable IL-15 superagonist enhances antitumor immunity in cold tumors by invigorating preexisting CD25 + CD8 + T cells	bioRxiv	2025		10.1101/2025.08.14.670432		https://doi.org/10.1101/2025.08.14.670432		bladder_cancer;clinical;n803_alt803;preclinical;systemic_toxicity	metadata_only
n803_anktiva_bladder		In brief: Anktiva for bladder cancer	The Medical letter on drugs and therapeutics	2024	38905527	10.58347/tml.2024.1705e		https://doi.org/10.58347/tml.2024.1705e		bladder_cancer;n803_alt803	metadata_only
n803_anktiva_bladder	Chamie K, Chang SS, Rosser CJ, Kramolowski E, Gonzalgo ML, Sexton WJ, Spilman P, Sender L, Reddy S, Soon-Shiong P.	N-803 Plus BCG Treatment for BCG-Naïve or -Unresponsive Non-Muscle Invasive Bladder Cancer: A Plain Language Review	Future oncology (London, England)	2024	38953850	10.1080/14796694.2024.2363744	PMC11524197	https://pmc.ncbi.nlm.nih.gov/articles/PMC11524197/	fulltext/chamie_2024_pmid38953850.xml	bladder_cancer;clinical;n803_alt803;quantitative;review	fulltext_xml
n803_anktiva_bladder	Chamie K, Chang SS, Kramolowsky EV, Gonzalgo ML, Huang M, Bhar P, Spilman P, Sender L, Reddy SK, Soon-Shiong P.	Quality of Life in the Phase 2/3 Trial of N-803 Plus Bacillus Calmette-Guérin in Bacillus Calmette-Guérin‒Unresponsive Nonmuscle-Invasive Bladder Cancer	Urology practice	2024	38226931	10.1097/upj.0000000000000517		https://doi.org/10.1097/upj.0000000000000517		bladder_cancer;clinical;formulation;n803_alt803	metadata_only
n803_anktiva_bladder	Guerrero-Ramos F, Boormans JL, Daneshmand S, Gontero P, Kamat AM, Rouprêt M, Vilaseca A, Shariat SF.	Novel Delivery Systems and Pharmacotherapeutic Approaches for the Treatment of Non-muscle-invasive Bladder Cancer	European urology oncology	2024	38849286	10.1016/j.euo.2024.05.012		https://doi.org/10.1016/j.euo.2024.05.012		bladder_cancer;clinical;formulation;intravesical;n803_alt803;review;route_comparison	metadata_only
n803_anktiva_bladder	Gupta A, Verma S, Gupta S.	Comparison between N-803 and Erdafitinib in Bacillus Calmette-Guérin-Unresponsive Non-Muscle-Invasive Bladder Cancer	Cancers	2024	39456539	10.3390/cancers16203445	PMC11506804	https://pmc.ncbi.nlm.nih.gov/articles/PMC11506804/	fulltext/gupta_2024_pmid39456539.xml	bladder_cancer;n803_alt803	fulltext_xml
n803_anktiva_bladder	Jaromin M, Konecki T, Kutwin P.	Revolutionizing Treatment: Breakthrough Approaches for BCG-Unresponsive Non-Muscle-Invasive Bladder Cancer	Cancers	2024	38611044	10.3390/cancers16071366	PMC11010925	https://pmc.ncbi.nlm.nih.gov/articles/PMC11010925/	fulltext/jaromin_2024_pmid38611044.xml	bladder_cancer;formulation;intravesical;n803_alt803;quantitative;review	fulltext_xml
n803_anktiva_bladder	Keam SJ.	Nogapendekin alfa Inbakicept: First Approval	Drugs	2024	38967714	10.1007/s40265-024-02060-1		https://doi.org/10.1007/s40265-024-02060-1		bladder_cancer;n803_alt803;review	metadata_only
n803_anktiva_bladder	Li R, Hensley PJ, Gupta S, Al-Ahmadie H, Babjuk M, Black PC, Brausi M, Bree KK, Fernández MI, Guo CC, Horowitz A, Lamm DL, Lerner SP, Lotan Y, Mariappan P, McConkey D, Mertens LS, Mir C, Ross JS, O'Donnell M, Palou J, Pohar K, Steinberg G, Soloway M, Spiess PE, Svatek RS, Tan WS, Taoka R, Buckley R, Kamat AM.	Bladder-sparing Therapy for Bacillus Calmette-Guérin-unresponsive Non-muscle-invasive Bladder Cancer: International Bladder Cancer Group Recommendations for Optimal Sequencing and Patient Selection	European urology	2024	39183090	10.1016/j.eururo.2024.08.001		https://doi.org/10.1016/j.eururo.2024.08.001		bladder_cancer;clinical;n803_alt803;quantitative;review;systemic_toxicity	metadata_only
n803_anktiva_bladder	Qu F, Darji S, Thompson DH.	Recent Advances in Drug Delivery Strategies for High-Risk BCG-Unresponsive Non-Muscle Invasive Bladder Cancer: A Brief Review from 2018 to 2024	Pharmaceutics	2024	39339191	10.3390/pharmaceutics16091154	PMC11434993	https://pmc.ncbi.nlm.nih.gov/articles/PMC11434993/	fulltext/qu_2024_pmid39339191.xml	bladder_cancer;clinical;formulation;n803_alt803;review	fulltext_xml
n803_anktiva_bladder	Waheed A, Gul MH, Wardak AB, Raja HAA, Hussaini H.	Nogapendekin alfa inbakicept-PMLN: first approval milestone for BCG-unresponsive noninvasive bladder cancer: editorial	Annals of medicine and surgery (2012)	2024	39525706	10.1097/ms9.0000000000002591	PMC11543176	https://pmc.ncbi.nlm.nih.gov/articles/PMC11543176/	fulltext/waheed_2024_pmid39525706.xml	bladder_cancer;n803_alt803	fulltext_xml
n803_anktiva_bladder	Chamie K, Chang SS, Kramolowsky E, Gonzalgo ML, Agarwal PK, Bassett JC, Bjurlin M, Cher ML, Clark W, Cowan BE, David R, Goldfischer E, Guru K, Jalkut MW, Kaffenberger SD, Kaminetsky J, Katz AE, Koo AS, Sexton WJ, Tikhonenkov SN, Trabulsi EJ, Trainer AF, Spilman P, Huang M, Bhar P, Taha SA, Sender L, Reddy S, Soon-Shiong P.	IL-15 Superagonist NAI in BCG-Unresponsive Non-Muscle-Invasive Bladder Cancer	NEJM evidence	2023	38320011	10.1056/evidoa2200167		https://doi.org/10.1056/evidoa2200167		bladder_cancer;clinical;intravesical;n803_alt803;quantitative;systemic_toxicity	metadata_only
n803_anktiva_bladder	Lui G, Minnar CM, Soon-Shiong P, Schlom J, Gameiro SR.	Exploiting an Interleukin-15 Heterodimeric Agonist (N803) for Effective Immunotherapy of Solid Malignancies	Cells	2023	37371081	10.3390/cells12121611	PMC10297013	https://pmc.ncbi.nlm.nih.gov/articles/PMC10297013/	fulltext/lui_2023_pmid37371081.xml	bladder_cancer;clinical;n803_alt803;pharmacokinetics;preclinical;review	fulltext_xml
n803_anktiva_bladder	Nazmifar M, Williams C, Naser-Tavakolian A, Heard J, Rosser C, Theodorescu D, Ahdoot M.	Clinical and Preclinical Therapies for Bladder Cancer Following Bacillus Calmette-Guérin Failure	The Journal of urology	2023	36067380	10.1097/ju.0000000000002957		https://doi.org/10.1097/ju.0000000000002957		bladder_cancer;clinical;intravesical;n803_alt803;preclinical;quantitative;review;systemic_toxicity	metadata_only
n803_anktiva_bladder	Pietzak EJ, Herr HW.	An Interleukin-15 Superagonist with BCG - A Major Therapeutic Advancement or Just a Small Step in the Right Direction?	NEJM evidence	2023	38320108	10.1056/evide2200264		https://doi.org/10.1056/evide2200264		bladder_cancer;clinical;intravesical;n803_alt803	metadata_only
