category	authors	title	venue	year	pmid	pmcid	doi	url	local_fulltext	notes
A_anticar_evidence_solid	Tebas P et al.	Clinical trial results provide the rationale to protect dual HIV-specific T cells with a signaling-defective HIV fusion inhibitor.	Mol Ther	2026	41520175	PMC12974173	10.1016/j.ymthe.2026.01.006	https://doi.org/10.1016/j.ymthe.2026.01.006	not_open_access	2026 Mol Ther: clinical trial rationale for protecting engineered HIV-specific T cells (transgene immunity context)
A_anticar_evidence_solid	Kimble EL et al.	Novel antibodies for identification, selection, and manipulation of T cells expressing Whitlow linker-containing CARs.	J Immunother Cancer	2025	41253492	PMC12636878	10.1136/jitc-2025-013123	https://doi.org/10.1136/jitc-2025-013123	fulltext/kimble_2025_pmid41253492.xml	Antibodies to the Whitlow/218 scFv linker: the linker itself is a dominant anti-CAR epitope, relevant to which CAR domains drive ADA
A_anticar_evidence_solid	Pampusch MS et al.	Assessment of anti-CD20 antibody pre-treatment for augmentation of CAR-T cell therapy in SIV-infected rhesus macaques.	Front Immunol	2023	36825014	PMC9941136	10.3389/fimmu.2023.1101446	https://doi.org/10.3389/fimmu.2023.1101446	fulltext/pampusch_2023_pmid36825014.xml	Anti-CD20 (rituximab) PRE-TREATMENT before CAR-T infusion in SIV+ macaques - the only published in-vivo test of B-cell depletion as anti-CAR-antibody prophylaxis with a CAR product; dosing schedule and outcome are the key primary data for this question
A_anticar_evidence_solid	Davey BC et al.	Development of an anti-CAR antibody response in SIV-infected rhesus macaques treated with CD4-MBL CAR/CXCR5 T cells.	Front Immunol	2022	36582226	PMC9793449	10.3389/fimmu.2022.1032537	https://doi.org/10.3389/fimmu.2022.1032537	fulltext/davey_2022_pmid36582226.xml	Anti-CAR antibody response documented in SIV+ rhesus macaques given CD4-MBL CAR/CXCR5 T cells - the cleanest non-human-primate model of anti-CAR humoral immunity
A_anticar_evidence_solid	Ko AH et al.	Dual Targeting of Mesothelin and CD19 with Chimeric Antigen Receptor-Modified T Cells in Patients with Metastatic Pancreatic Cancer.	Mol Ther	2020	32730744	PMC7647666	10.1016/j.ymthe.2020.07.017	https://doi.org/10.1016/j.ymthe.2020.07.017	not_open_access	Ko 2020: CART-Meso + CART-19 co-infusion in 3 patients with pancreatic cancer - the CD19 CAR depleted B cells (undetectable by 7-10 days, sustained >=28 days) but at the dose tested did NOT improve CART-Meso persistence; the closest in-human test of B-cell depletion alongside a solid-tumour CAR, and it was negative
A_anticar_evidence_solid	Haas AR et al.	Phase I Study of Lentiviral-Transduced Chimeric Antigen Receptor-Modified T Cells Recognizing Mesothelin in Advanced Solid Cancers.	Mol Ther	2019	31420241	PMC6838875	10.1016/j.ymthe.2019.07.015	https://doi.org/10.1016/j.ymthe.2019.07.015	not_open_access	Haas 2019 Mol Ther: lentiviral SS1 (murine scFv) mesothelin CAR-T in mesothelioma/ovarian/pancreatic cancer; human anti-chimeric antibodies (HACA) detected in 8/14 patients; a fully human anti-mesothelin CAR was taken forward
A_anticar_evidence_solid	Hege KM et al.	Safety, tumor trafficking and immunogenicity of chimeric antigen receptor (CAR)-T cells specific for TAG-72 in colorectal cancer.	J Immunother Cancer	2017	28344808	PMC5360066	10.1186/s40425-017-0222-9	https://doi.org/10.1186/s40425-017-0222-9	fulltext/hege_2017_pmid28344808.xml	Hege 2017 JITC: first-generation TAG-72 CAR-T (humanised CC49 binder) in colorectal cancer, IV or hepatic-artery; an interfering antibody to the CC49 binding domain was induced - an anti-CAR immune response detectable as an artefactual fall in serum TAG-72; persistence <=14 weeks, authors recommend fully human constructs
A_anticar_evidence_solid	Lamers CH et al.	Treatment of metastatic renal cell carcinoma (mRCC) with CAIX CAR-engineered T-cells-a completed study overview.	Biochem Soc Trans	2016	27284065		10.1042/BST20160037	https://doi.org/10.1042/BST20160037	not_open_access	Lamers 2016: completed CAIX CAR-T study overview, explicit discussion of host anti-transgene immunity limiting persistence
A_anticar_evidence_solid	Junghans RP et al.	Phase I Trial of Anti-PSMA Designer CAR-T Cells in Prostate Cancer: Possible Role for Interacting Interleukin 2-T Cell Pharmacodynamics as a Determinant of Clinical Response.	Prostate	2016	27324746		10.1002/pros.23214	https://doi.org/10.1002/pros.23214	not_open_access	Junghans 2016 Prostate: anti-PSMA designer CAR-T phase 1
A_anticar_evidence_solid	Beatty GL et al.	Mesothelin-specific chimeric antigen receptor mRNA-engineered T cells induce anti-tumor activity in solid malignancies.	Cancer Immunol Res	2014	24579088	PMC3932715	10.1158/2326-6066.CIR-13-0170	https://doi.org/10.1158/2326-6066.CIR-13-0170	fulltext/beatty_2014_pmid24579088.xml	Beatty 2014: mesothelin mRNA CAR-T design that mandates repeat dosing (the setting in which ADA arose)
A_anticar_evidence_solid	Lamers CH et al.	Treatment of metastatic renal cell carcinoma with CAIX CAR-engineered T cells: clinical evaluation and management of on-target toxicity.	Mol Ther	2013	23423337	PMC5189272	10.1038/mt.2013.17	https://doi.org/10.1038/mt.2013.17	not_open_access	Lamers 2013 Mol Ther: CAIX CAR-T in 12 mRCC patients, up to 10 infusions each; 4 patients pre-treated with CAIX mAb G250 to block on-target liver toxicity, with indications of enhanced peripheral T-cell persistence (antigen blockade, not ADA prophylaxis). Companion immunogenicity data in PMID 20889925
A_anticar_evidence_solid	Maus MV et al.	T cells expressing chimeric antigen receptors can cause anaphylaxis in humans.	Cancer Immunol Res	2013	24777247	PMC3888798	10.1158/2326-6066.CIR-13-0006	https://doi.org/10.1158/2326-6066.CIR-13-0006	fulltext/maus_2013_pmid24777247.xml	Maus 2013: anaphylaxis and cardiac arrest from IgE anti-murine-scFv after repeated mesothelin mRNA CAR-T infusions - the canonical clinical harm caused by anti-CAR antibodies with intermittent redosing
A_anticar_evidence_solid	Lamers CH et al.	Immune responses to transgene and retroviral vector in patients treated with ex vivo-engineered T cells.	Blood	2011	20889925		10.1182/blood-2010-07-294520	https://doi.org/10.1182/blood-2010-07-294520	not_open_access	Lamers 2011 Blood: distinct humoral (anti-idiotypic, CAR-function-neutralising) and/or cellular anti-CAIX-CAR responses in the majority of mRCC patients, plus anti-retroviral-vector immunity in 2; the reference human dataset for anti-CAR humoral immunity in a solid tumour
A_anticar_evidence_solid	Lamers CH et al.	Gene-modified T cells for adoptive immunotherapy of renal cell cancer maintain transgene-specific immune functions in vivo.	Cancer Immunol Immunother	2007	17479266	PMC11030170	10.1007/s00262-007-0330-3	https://doi.org/10.1007/s00262-007-0330-3	fulltext/lamers_2007_pmid17479266.xml	Lamers 2007: transgene-specific immune functions retained in vivo in RCC CAR-T patients
A_anticar_evidence_solid	Lamers CH et al.	Treatment of metastatic renal cell carcinoma with autologous T-lymphocytes genetically retargeted against carbonic anhydrase IX: first clinical experience.	J Clin Oncol	2006	16648493		10.1200/JCO.2006.05.9964	https://doi.org/10.1200/JCO.2006.05.9964	not_open_access	Lamers 2006 JCO: first CAIX CAR-T clinical experience; repeated IV infusions over ~10 days plus IL-2
A_anticar_evidence_solid	Kershaw MH et al.	A phase I study on adoptive immunotherapy using gene-modified T cells for ovarian cancer.	Clin Cancer Res	2006	17062687	PMC2154351	10.1158/1078-0432.CCR-06-1183	https://doi.org/10.1158/1078-0432.CCR-06-1183	not_open_access	Kershaw 2006 CCR: phase I FR-alpha CAR-T in ovarian cancer; an inhibitory serum factor developed in 3 of 6 patients tested that significantly reduced gene-modified T-cell responses to FR+ tumour; no long-term persistence
