category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
clinical_trial	Garfinkle et al.	Adjuvant personalized multivalent neoantigen DNA vaccination for MGMT unmethylated glioblastoma: a phase 1 trial.	Nature cancer	2026	42120910	10.1038/s43018-026-01163-w		https://doi.org/10.1038/s43018-026-01163-w			personalized;neoantigen;GNOS-PV01;electroporation;MGMT-unmethylated;phase1	not_available_oa
news_commentary		Bespoke DNA vaccine offers hope for treatment of notorious brain cancer.	Nature	2026	42151541	10.1038/d41586-026-01503-x		https://doi.org/10.1038/d41586-026-01503-x			personalized;neoantigen;news	not_available_oa
preclinical_antigen_vaccine	Pearson et al.	TRP-2 / gp100 DNA vaccine and PD-1 checkpoint blockade combination for the treatment of intracranial tumors.	Cancer immunology, immunotherapy : CII	2024	38954031	10.1007/s00262-024-03770-x	PMC11219641	https://doi.org/10.1007/s00262-024-03770-x	pdfs/pearson_2024_38954031.pdf		TRP-2;gp100;ImmunoBody;SCIB1;PD-1;combination;intracranial	oa_pdf
preclinical_antigen_vaccine	Bausart et al.	Combination of local immunogenic cell death-inducing chemotherapy and DNA vaccine increases the survival of glioblastoma-bearing mice.	Nanomedicine : nanotechnology, biology, and medicine	2023	37105343	10.1016/j.nano.2023.102681		https://doi.org/10.1016/j.nano.2023.102681			pTOP;immunogenic-cell-death;mitoxantrone;PLGA-nanoparticles;combination	not_available_oa
preclinical_antigen_vaccine	Bausart et al.	Combination of DNA Vaccine and Immune Checkpoint Blockades Improves the Immune Response in an Orthotopic Unresectable Glioblastoma Model.	Pharmaceutics	2022	35631612	10.3390/pharmaceutics14051025	PMC9145362	https://doi.org/10.3390/pharmaceutics14051025	pdfs/bausart_2022_35631612.pdf		pTOP;VSV-G;epitope;dual-checkpoint;GL261;orthotopic;epitope-position	oa_pdf
preclinical_antigen_vaccine	Adhikari et al.	Development and Characterization of an HCMV Multi-Antigen Therapeutic Vaccine for Glioblastoma Using the UNITE Platform.	Frontiers in oncology	2022	35651802	10.3389/fonc.2022.850546	PMC9149224	https://doi.org/10.3389/fonc.2022.850546	pdfs/adhikari_2022_35651802.pdf		HCMV;pp65;gB;IE-1;multi-antigen;UNITE;LAMP1;ITI-1001	oa_pdf
preclinical_antigen_vaccine	Lopes et al.	New generation of DNA-based immunotherapy induces a potent immune response and increases the survival in different tumor models.	Journal for immunotherapy of cancer	2021	33795383	10.1136/jitc-2020-001243	PMC8021892	https://doi.org/10.1136/jitc-2020-001243	pdfs/lopes_2021_33795383.pdf		pTOP;VSV-G;epitope-carrier;multi-tumor;CD4-CD8;nucleic-acid	oa_pdf
preclinical_antigen_vaccine	Chen et al.	A novel vaccine containing EphA2 epitope and LIGHT plasmid induces robust cellular immunity against glioma U251 cells.	Cellular immunology	2011	22032907	10.1016/j.cellimm.2011.08.011		https://doi.org/10.1016/j.cellimm.2011.08.011			EphA2;LIGHT;peptide+plasmid;HLA-A2;U251	not_available_oa
preclinical_antigen_vaccine	Ueda et al.	Induction of protective and therapeutic antitumor immunity by a DNA vaccine with a glioma antigen, SOX6.	International journal of cancer	2008	18224680	10.1002/ijc.23366		https://doi.org/10.1002/ijc.23366			SOX6;cancer-testis;CTL;protective+therapeutic	not_available_oa
preclinical_antigen_vaccine	Yamanaka et al.	Induction of antigen-specific immune responses against malignant brain tumors by intramuscular injection of sindbis DNA encoding gp100 and IL-18.	DNA and cell biology	2005	15869409	10.1089/dna.2005.24.317		https://doi.org/10.1089/dna.2005.24.317			Sindbis-DNA;gp100;IL-18;xenogeneic;layered-DNA;intramuscular	not_available_oa
preclinical_antigen_vaccine	Kim et al.	'Survival gene' Bcl-xl potentiates DNA-raised antitumor immunity.	Gene therapy	2005	16052205	10.1038/sj.gt.3302584		https://doi.org/10.1038/sj.gt.3302584			TRP-2;Bcl-xl;DC-survival;adjuvant;GL-26;hsp70	not_available_oa
preclinical_antigen_vaccine	O et al.	A DNA vaccine expressing tyrosinase-related protein-2 induces T-cell-mediated protection against mouse glioblastoma.	Cancer gene therapy	2003	12944987	10.1038/sj.cgt.7700620		https://doi.org/10.1038/sj.cgt.7700620			TRP-2;GL261;CD8;cross-protection;melanoma-associated	not_available_oa
preclinical_proof_of_concept	Ginzkey et al.	Incomplete tumour control following DNA vaccination against rat gliomas expressing a model antigen.	Acta neurochirurgica	2013	23132370	10.1007/s00701-012-1526-7	PMC3535398	https://doi.org/10.1007/s00701-012-1526-7	pdfs/ginzkey_2013_23132370.pdf		lacZ;model-antigen;9L;gliosarcoma;intramuscular;partial-control	oa_pdf
