category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
organ_targeting	Heredero J, Peña Á, Broset E et al.	Predictive Lung- and Spleen-Targeted mRNA Delivery with Biodegradable Ionizable Lipids in Four-Component LNPs.	Pharmaceutics	2025	40284454	10.3390/pharmaceutics17040459	PMC12030499	https://pmc.ncbi.nlm.nih.gov/articles/PMC12030499/		fulltext/heredero_2025_pmid40284454.xml	extrahepatic;biodistribution;lipid_engineering;organ_targeting;spleen;ml_optimization;spleen_targeting	fulltext_xml
organ_targeting	Dilliard SA, Sun Y, Brown MO et al.	The interplay of quaternary ammonium lipid structure and protein corona on lung-specific mRNA delivery by selective organ targeting (SORT) nanoparticles.	Journal of controlled release : official journal of the Controlled Release Society	2023	37536547	10.1016/j.jconrel.2023.07.058	PMC10826900	https://pmc.ncbi.nlm.nih.gov/articles/PMC10826900/			extrahepatic;lung_targeting;organ_targeting;lung	metadata_only
lung_targeting	Liu J, Zhang Y, Yao R et al.	Mass Spectrometry-Assisted High-Throughput Discovery of Lung-Specific Lipid Nanoparticles for In Vivo Protein Delivery.	Nano letters	2026	41775665	10.1021/acs.nanolett.6c00040		https://doi.org/10.1021/acs.nanolett.6c00040			biodistribution;lipid_library;lung;ml_optimization;lung_targeting	metadata_only
organ_targeting	Wang Y, Liu X, Yang H et al.	Ugi-reaction-derived ionizable lipids with cyclic tertiary amine heads enable spleen-targeted mRNA delivery.	Biomaterials science	2025	40625181	10.1039/d5bm00738k		https://doi.org/10.1039/d5bm00738k			extrahepatic;lipid_engineering;organ_targeting;spleen;spleen_targeting	metadata_only
organ_targeting	Bian Y, Zhang Y, Hu B et al.	Organ-Targeted Ionizable Lipid Nanoparticles Facilitate Sequence-Activated Fluorogenic Probe for Precise Imaging of Inflammatory Liver Disease.	Small (Weinheim an der Bergstrasse, Germany)	2024	38716970	10.1002/smll.202401282		https://doi.org/10.1002/smll.202401282			lipid_engineering;organ_targeting;biodistribution	metadata_only
organ_targeting	Guerrero ED, Vaidya A, Santelli J et al.	Investigating the functional contributions of phospholipids in selective organ targeting lipid nanoparticles.	Biomaterials	2026	40929887	10.1016/j.biomaterials.2025.123671	PMC12869451	https://pmc.ncbi.nlm.nih.gov/articles/PMC12869451/			endosomal;extrahepatic;organ_targeting;biodistribution	metadata_only
organ_targeting	Sun Z, Liu Y, Zhang H et al.	A novel alphavirus-based saRNA platform for enhanced vaccination efficacy and organ-specific targeting.	Vaccine	2026	41349243	10.1016/j.vaccine.2025.128055		https://doi.org/10.1016/j.vaccine.2025.128055			spleen;extrahepatic;organ_targeting;biodistribution	metadata_only
organ_targeting	Hamilton AG, Thatte AS, Xu J et al.	High-Throughput In Vivo Screening Using Barcoded mRNA Identifies Lipid Nanoparticles With Extrahepatic Tropism for In Situ Immunoengineering.	Advanced materials (Deerfield Beach, Fla.)	2026	41603124	10.1002/adma.202514370	PMC12957869	https://pmc.ncbi.nlm.nih.gov/articles/PMC12957869/		fulltext/hamilton_2026_pmid41603124.xml	ml_optimization;extrahepatic;organ_targeting	fulltext_xml
immune_cell_targeting	Chen X, Li X, Yan Y et al.	Splenic dendritic cell-targeting mRNA transfection of H-type ionizable lipid-based LNPs for enhancing tumor immunotherapy.	Bioactive materials	2026	41737632	10.1016/j.bioactmat.2026.02.018	PMC12926576	https://pmc.ncbi.nlm.nih.gov/articles/PMC12926576/		fulltext/chen_2026_pmid41737632.xml	lipid_engineering;immune_cell_targeting;spleen;immune	fulltext_xml
organ_targeting	Wang Q, Chen S, Li G et al.	Engineering Polymer-Lipid Integrated Nanoparticles with Quantitative Design Principles for Organ-Selective mRNA Delivery.	Journal of the American Chemical Society	2026	41759083	10.1021/jacs.5c22504		https://doi.org/10.1021/jacs.5c22504			extrahepatic;organ_targeting;biodistribution	metadata_only
organ_targeting	Su LJ, Wang NN, Luo R et al.	Artificial intelligence-guided design of LNPs for in vivo targeted mRNA delivery via analysis of the spatial conformation of ionizable lipids.	Nature biomedical engineering	2026	41851281	10.1038/s41551-026-01640-8	7745181	https://pmc.ncbi.nlm.nih.gov/articles/7745181/			lipid_engineering;ml_optimization;spleen;organ_targeting	metadata_only
organ_targeting	Shi L, You F, Sun Z et al.	Endocytosis-dependent and spleen-selective mRNA expression enabled by ionizable lipidoid linkers enhances therapeutic mRNA vaccination.	Acta biomaterialia	2026	42303148	10.1016/j.actbio.2026.06.031		https://doi.org/10.1016/j.actbio.2026.06.031			lipid_engineering;extrahepatic;organ_targeting;spleen_targeting	metadata_only
organ_targeting	Zhu X, Sun H, Cao X et al.	Targeting strategies of lipid nanoparticles for RNA therapeutics: From hepatic tropism to extrahepatic precision delivery.	Critical reviews in oncology/hematology	2026	42342140	10.1016/j.critrevonc.2026.105448		https://doi.org/10.1016/j.critrevonc.2026.105448			targeting_ligand;extrahepatic;organ_targeting	metadata_only
organ_targeting	Yoo S, Faisal M, Bae SH et al.	Novel Less Toxic, Lymphoid Tissue-Targeted Lipid Nanoparticles Containing a Vitamin B5-Derived Ionizable Lipid for mRNA Vaccine Delivery.	Advanced healthcare materials	2025	39502027	10.1002/adhm.202403366	PMC11912100	https://pmc.ncbi.nlm.nih.gov/articles/PMC11912100/		fulltext/yoo_2025_pmid39502027.xml	lipid_engineering;organ_targeting	fulltext_xml
organ_targeting	Li J, Wang N, Zhang W et al.	Zwitterionic Polymer Lipid Nanoparticles Enabling Selective Organ Targeting Delivery of Small Interfering RNA for the Treatment of Hepatic and Pulmonary Inflammation.	Small (Weinheim an der Bergstrasse, Germany)	2025	39629543	10.1002/smll.202407040		https://doi.org/10.1002/smll.202407040			extrahepatic;organ_targeting;biodistribution	metadata_only
lung_targeting	He X, Wang R, Cao Y et al.	Lung-Specific mRNA Delivery by Ionizable Lipids with Defined Structure-Function Relationship and Unique Protein Corona Feature.	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2025	39965058	10.1002/advs.202416525	PMC11984862	https://pmc.ncbi.nlm.nih.gov/articles/PMC11984862/		fulltext/he_2025_pmid39965058.xml	lipid_engineering;lipid_library;lung_targeting;lung	fulltext_xml
organ_targeting	Simonsen JB	Lipid nanoparticle-based strategies for extrahepatic delivery of nucleic acid therapies - challenges and opportunities.	Journal of controlled release : official journal of the Controlled Release Society	2024	38621638	10.1016/j.jconrel.2024.04.022		https://doi.org/10.1016/j.jconrel.2024.04.022			targeting_ligand;extrahepatic;organ_targeting	metadata_only
