category	authors	title	venue	year	doi	url	local_pdf	notes
foundational_biology	Varambally S et al.	The polycomb group protein EZH2 is involved in progression of prostate cancer	Nature	2002	10.1038/nature01075	https://pubmed.ncbi.nlm.nih.gov/12374981/	no_open_pdf_added	EZH2 overexpression marks prostate cancer progression/metastasis (Varambally); early oncogenic-driver evidence
foundational_biology	Morin RD et al.	Somatic mutations altering EZH2 (Tyr641) in follicular and diffuse large B-cell lymphomas of germinal-center origin	Nature genetics	2010	10.1038/ng.518	https://pubmed.ncbi.nlm.nih.gov/20081860/	no_open_pdf_added	Discovery of recurrent EZH2 Tyr641 (Y641) gain-of-function mutations in GCB follicular lymphoma / DLBCL (Morin)
foundational_biology	Yap DB et al.	Somatic mutations at EZH2 Y641 act dominantly through a mechanism of selectively altered PRC2 catalytic activity, to increase H3K27 trimethylation	Blood	2011	10.1182/blood-2010-11-321208	https://pubmed.ncbi.nlm.nih.gov/21190999/	no_open_pdf_added	EZH2 Y641 mutations act dominantly by shifting PRC2 catalytic activity toward H3K27me2/me3
foundational_biology	Martinez-Garcia E et al.	Deregulation of H3K27 methylation in cancer	Nature genetics	2010	10.1038/ng0210-100	https://pubmed.ncbi.nlm.nih.gov/20104248/	no_open_pdf_added	Review: deregulation of H3K27 methylation in cancer; PRC2/EZH2 target rationale
foundational_biology	Varambally S et al.	Genomic loss of microRNA-101 leads to overexpression of histone methyltransferase EZH2 in cancer	Science (New York, N.Y.)	2008	10.1126/science.1165395	https://pubmed.ncbi.nlm.nih.gov/19008416/	no_open_pdf_added	Genomic loss of miR-101 drives EZH2 overexpression in cancer
foundational_biology	Lewis PW et al.	Inhibition of PRC2 activity by a gain-of-function H3 mutation found in pediatric glioblastoma	Science (New York, N.Y.)	2013	10.1126/science.1232245	https://pubmed.ncbi.nlm.nih.gov/23539183/	no_open_pdf_added	H3K27M gain-of-function inhibits PRC2 activity in pediatric glioblastoma; foundational histone-mutant/PRC2 crosstalk (relevant to H3-mutant glioma)
preclinical_mechanism	McCabe MT et al.	EZH2 inhibition as a therapeutic strategy for lymphoma with EZH2-activating mutations	Nature	2012	10.1038/nature11606	https://pubmed.ncbi.nlm.nih.gov/23051747/	no_open_pdf_added	McCabe et al: EZH2 inhibition (GSK126) as a therapeutic strategy for EZH2-mutant lymphoma; landmark preclinical proof-of-concept
clinical_trial	Italiano A et al.	Tazemetostat, an EZH2 inhibitor, in relapsed or refractory B-cell non-Hodgkin lymphoma and advanced solid tumours: a first-in-human, open-label, phase 1 study	The Lancet. Oncology	2018	10.1016/S1470-2045(18)30145-1	https://pubmed.ncbi.nlm.nih.gov/29650362/	no_open_pdf_added	First-in-human phase 1 tazemetostat in relapsed/refractory B-cell NHL and advanced solid tumors (Italiano)
clinical_trial_approval	Morschhauser F et al.	Tazemetostat for patients with relapsed or refractory follicular lymphoma: an open-label, single-arm, multicentre, phase 2 trial	The Lancet. Oncology	2020	10.1016/S1470-2045(20)30441-1	https://pubmed.ncbi.nlm.nih.gov/33035457/	no_open_pdf_added	Pivotal phase 2 tazemetostat in relapsed/refractory follicular lymphoma (Morschhauser); basis of FDA FL approval
clinical_trial_approval	Gounder M et al.	Tazemetostat in advanced epithelioid sarcoma with loss of INI1/SMARCB1: an international, open-label, phase 2 basket study	The Lancet. Oncology	2020	10.1016/S1470-2045(20)30451-4	https://pubmed.ncbi.nlm.nih.gov/33035459/	no_open_pdf_added	Pivotal phase 2 tazemetostat in INI1/SMARCB1-negative epithelioid sarcoma (Gounder); basis of first EZH2i FDA approval
clinical_trial	Isshiki Y et al.	EZH2 inhibition enhances T cell immunotherapies by inducing lymphoma immunogenicity and improving T cell function	Cancer cell	2025	10.1016/j.ccell.2024.11.006	https://pubmed.ncbi.nlm.nih.gov/39642889/	no_open_pdf_added	Pharmacology and pharmacokinetics of tazemetostat
clinical_trial	Scott BJ et al.	Cellular immunotherapies for central nervous system cancers	Neuro-oncology advances	2025	10.1093/noajnl/vdaf120	https://pubmed.ncbi.nlm.nih.gov/40933036/	no_open_pdf_added	Tazemetostat efficacy/safety in Chinese relapsed/refractory follicular lymphoma (EClinicalMedicine)
clinical_trial	Kazansky Y et al.	Overcoming Clinical Resistance to EZH2 Inhibition Using Rational Epigenetic Combination Therapy	Cancer discovery	2024	10.1158/2159-8290.CD-23-0110	https://pubmed.ncbi.nlm.nih.gov/38315003/	no_open_pdf_added	Valemetostat (DS-3201) monotherapy first-in-human phase 1 in relapsed/refractory NHL (dual EZH1/2 inhibitor)
clinical_trial	Zinzani PL et al.	Valemetostat for patients with relapsed or refractory peripheral T-cell lymphoma (VALENTINE-PTCL01): a multicentre, open-label, single-arm, phase 2 study	The Lancet. Oncology	2024	10.1016/S1470-2045(24)00503-5	https://pubmed.ncbi.nlm.nih.gov/39486433/	no_open_pdf_added	VALENTINE-PTCL-01 phase 2 valemetostat in relapsed/refractory peripheral T-cell lymphoma
clinical_trial	Song Y et al.	SHR2554, an EZH2 inhibitor, in relapsed or refractory mature lymphoid neoplasms: a first-in-human, dose-escalation, dose-expansion, and clinical expansion phase 1 trial	The Lancet. Haematology	2022	10.1016/S2352-3026(22)00134-X	https://pubmed.ncbi.nlm.nih.gov/35772429/	no_open_pdf_added	SHR2554 first-in-human phase 1 in relapsed/refractory mature lymphoid neoplasms
clinical_trial	Song Y et al.	Enhancer of Zeste Homolog 2 Inhibitor SHR2554 in Relapsed or Refractory Peripheral T-cell Lymphoma: Data from the First-in-Human Phase I Study	Clinical cancer research : an official journal of the American Association for Cancer Research	2024	10.1158/1078-0432.CCR-23-2582	https://pubmed.ncbi.nlm.nih.gov/38190117/	no_open_pdf_added	SHR2554 in relapsed/refractory peripheral T-cell lymphoma
clinical_trial	Fan Z et al.	Safety and efficacy of HH2853, a novel EZH1/2 dual inhibitor, in patients with refractory solid tumours or non-Hodgkin lymphomas: a phase I study	EClinicalMedicine	2025	10.1016/j.eclinm.2025.103398	https://pubmed.ncbi.nlm.nih.gov/40821900/	no_open_pdf_added	HH2853, novel EZH1/2 dual inhibitor, phase 1 safety/efficacy in refractory solid tumors and lymphomas
clinical_trial	Shore ND et al.	Phase III randomized studies of mevrometostat and enzalutamide in metastatic prostate cancer (MEVPRO-1 and MEVPRO-2): trial protocols	Future oncology (London, England)	2026	10.1080/14796694.2026.2667441	https://pubmed.ncbi.nlm.nih.gov/42108644/	no_open_pdf_added	Phase III MEVPRO: mevrometostat + enzalutamide in metastatic prostate cancer (trial design)
clinical_trial	Zhao Z et al.	Safety profile of EZH2 inhibitors for cancer: a systematic review and meta-analysis	PeerJ	2025	10.7717/peerj.18871	https://pubmed.ncbi.nlm.nih.gov/39886019/	no_open_pdf_added	Safety profile of EZH2 inhibitors: systematic review and meta-analysis
review	Tang M et al.	Recent update on the development of EZH2 inhibitors and degraders for cancer therapy	European journal of medicinal chemistry	2025	10.1016/j.ejmech.2025.118106	https://pubmed.ncbi.nlm.nih.gov/40884958/	no_open_pdf_added	Recent update on the development of EZH2 inhibitors and degraders for cancer therapy
review	Wang MS et al.	Pharmacological Advancements of PRC2 in Cancer Therapy: A Narrative Review	Life (Basel, Switzerland)	2024	10.3390/life14121645	https://pubmed.ncbi.nlm.nih.gov/39768352/	no_open_pdf_added	Pharmacological advancements of PRC2 in cancer therapy (narrative review)
preclinical_prostate	Bai Y et al.	Inhibition of enhancer of zeste homolog 2 (EZH2) overcomes enzalutamide resistance in castration-resistant prostate cancer	The Journal of biological chemistry	2019	10.1074/jbc.RA119.008152	https://pubmed.ncbi.nlm.nih.gov/31085587/	no_open_pdf_added	EZH2 inhibition overcomes enzalutamide resistance in castration-resistant prostate cancer
preclinical_prostate	Shankar E et al.	Dual targeting of EZH2 and androgen receptor as a novel therapy for castration-resistant prostate cancer	Toxicology and applied pharmacology	2020	10.1016/j.taap.2020.115200	https://pubmed.ncbi.nlm.nih.gov/32805266/	no_open_pdf_added	Dual targeting of EZH2 and androgen receptor as therapy for CRPC
preclinical_prostate	Fischetti I et al.	Combined therapy targeting AR and EZH2 curbs castration-resistant prostate cancer enhancing anti-tumor T-cell response	Epigenomics	2024	10.2217/epi-2023-0374	https://pubmed.ncbi.nlm.nih.gov/38530086/	no_open_pdf_added	Combined AR + EZH2 inhibition curbs CRPC and enhances anti-tumor immunity
review	Fei X et al.	Promising therapy for neuroendocrine prostate cancer: current status and future directions	Therapeutic advances in medical oncology	2024	10.1177/17588359241269676	https://pubmed.ncbi.nlm.nih.gov/39131727/	no_open_pdf_added	Neuroendocrine prostate cancer therapy review incl. EZH2 targeting
preclinical_sclc	Gardner EE et al.	Chemosensitive Relapse in Small Cell Lung Cancer Proceeds through an EZH2-SLFN11 Axis	Cancer cell	2017	10.1016/j.ccell.2017.01.006	https://pubmed.ncbi.nlm.nih.gov/28196596/	no_open_pdf_added	EZH2-SLFN11 axis drives chemosensitive relapse in small cell lung cancer; EZH2i to prevent acquired resistance
preclinical_sclc	Parveen S et al.	EZH2 Inhibition Reshapes 3D Chromatin Architecture to Induce Immunogenic Phenotype in Small Cell Lung Cancer	bioRxiv : the preprint server for biology	2026	10.64898/2026.01.26.701784	https://pubmed.ncbi.nlm.nih.gov/41659399/	no_open_pdf_added	EZH2 inhibition reshapes 3D chromatin architecture to induce an immunogenic phenotype in SCLC
preclinical_sclc	Kopparam J et al.	PRC2 loss impairs small cell lung cancer tumorigenesis and enhances sensitivity to G9a/GLP inhibition	Communications biology	2026	10.1038/s42003-026-09677-w	https://pubmed.ncbi.nlm.nih.gov/41723269/	no_open_pdf_added	PRC2 loss impairs SCLC tumorigenesis and increases sensitivity to G9a/GLP inhibition
immuno_combination	Goswami S et al.	Modulation of EZH2 expression in T cells improves efficacy of anti-CTLA-4 therapy	The Journal of clinical investigation	2018	10.1172/JCI99760	https://pubmed.ncbi.nlm.nih.gov/29905573/	no_open_pdf_added	EZH2 modulation in T cells improves anti-CTLA-4 efficacy; rationale for EZH2i + checkpoint blockade
immuno_combination	Zhu D et al.	EZH2 inhibition and 5-azacytidine enhance antitumor immunity in PTEN-deficient glioblastoma by activation viral mimicry response	Journal for immunotherapy of cancer	2025	10.1136/jitc-2025-011650	https://pubmed.ncbi.nlm.nih.gov/40514071/	no_open_pdf_added	EZH2 inhibition + 5-azacytidine enhance antitumor immunity in PTEN-deficient glioblastoma
preclinical_glioma	Dhar S et al.	A tumor suppressor role for EZH2 in diffuse midline glioma pathogenesis	Acta neuropathologica communications	2022	10.1186/s40478-022-01336-5	https://pubmed.ncbi.nlm.nih.gov/35395831/	no_open_pdf_added	Tumor-suppressor role for EZH2 in diffuse midline glioma pathogenesis (context-dependent caution for EZH2i in DMG)
preclinical_glioma	Rahal F et al.	An EZH2 blocker sensitizes histone mutated diffuse midline glioma to cholesterol metabolism inhibitors through an off-target effect	Neuro-oncology advances	2022	10.1093/noajnl/vdac018	https://pubmed.ncbi.nlm.nih.gov/35300150/	no_open_pdf_added	EZH2 blocker sensitizes histone-mutant diffuse midline glioma to cholesterol-metabolism inhibition
preclinical_glioma	Keane L et al.	Inhibition of microglial EZH2 leads to anti-tumoral effects in pediatric diffuse midline gliomas	Neuro-oncology advances	2021	10.1093/noajnl/vdab096	https://pubmed.ncbi.nlm.nih.gov/34485907/	no_open_pdf_added	Inhibition of microglial EZH2 produces anti-tumoral effects in pediatric diffuse midline glioma
preclinical_glioma	Xiang W et al.	Differentiation therapy targeting the stalled epigenetic developmental programs in pediatric high-grade gliomas	Pharmacological research	2025	10.1016/j.phrs.2025.107599	https://pubmed.ncbi.nlm.nih.gov/39818258/	no_open_pdf_added	Differentiation therapy targeting stalled epigenetic developmental programs in pediatric high-grade glioma
preclinical_medulloblastoma	Alimova I et al.	Targeting the enhancer of zeste homologue 2 in medulloblastoma	International journal of cancer	2012	10.1002/ijc.27455	https://pubmed.ncbi.nlm.nih.gov/22287205/	no_open_pdf_added	Targeting EZH2 in medulloblastoma
preclinical_medulloblastoma	Yu J et al.	EZH2 inhibition sensitizes MYC-high medulloblastoma cancers to PARP inhibition by regulating NUPR1-mediated DNA repair	Oncogene	2025	10.1038/s41388-024-03232-9	https://pubmed.ncbi.nlm.nih.gov/39562655/	no_open_pdf_added	EZH2 inhibition sensitizes MYC-high medulloblastoma to PARP inhibition
review	Gao J et al.	Review: Targeting EZH2 in neuroblastoma	Cancer treatment reviews	2023	10.1016/j.ctrv.2023.102600	https://pubmed.ncbi.nlm.nih.gov/37467626/	no_open_pdf_added	Review: targeting EZH2 in neuroblastoma
resistance	Kazansky Y et al.	Overcoming clinical resistance to EZH2 inhibition using rational epigenetic combination therapy	bioRxiv : the preprint server for biology	2023	10.1101/2023.02.06.527192	https://pubmed.ncbi.nlm.nih.gov/36798379/	no_open_pdf_added	Overcoming clinical resistance to EZH2 inhibition via rational epigenetic combination therapy (Cancer Discovery)
resistance	Nguyen VTM et al.	Synergistic antitumor effect of combined EZH2 and DOT1L inhibition in B-cell lymphoma	Blood	2025	10.1182/blood.2024026534	https://pubmed.ncbi.nlm.nih.gov/40009485/	no_open_pdf_added	Combined EZH2 + DOT1L inhibition synergy in B-cell lymphoma
