category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
clinical_trial	Chen Y, Liu T, Min G et al.	Single-cell transcriptome analysis reveals regulatory programs associated with tumor resistance during immunotherapy in colorectal cancer.	International journal of surgery (London, England)	2026	40932376	10.1097/JS9.0000000000003459	PMC12825545	https://pmc.ncbi.nlm.nih.gov/articles/PMC12825545/	pdfs/chen_2026_pmid40932376.pdf		tumor_infiltrating;checkpoint;immunosuppression;clinical;colorectal	downloaded_europepmc
clinical_trial	Ma P, Zhou Y, Ma W et al.	Intrathecal Allogeneic B7-H3-targeted CAR γδ T Cells for Leptomeningeal Metastasis from Solid Tumors: Safety, Efficacy, and Immunological Dynamics in a Phase 1 Trial.	Clinical cancer research : an official journal of the American Association for Cancer Research	2026	42207176	10.1158/1078-0432.CCR-26-0738		https://doi.org/10.1158/1078-0432.CCR-26-0738			CAR_gd;adoptive_expansion;tumor_infiltrating;clinical;leukemia;breast	no_pmcid
clinical_trial	von Itzstein MS, Liu J, Mu-Mosley H et al.	Racial Differences in Systemic Immune Parameters in Individuals With Lung Cancer.	JTO clinical and research reports	2025	39619775	10.1016/j.jtocrr.2024.100751	PMC11605181	https://pmc.ncbi.nlm.nih.gov/articles/PMC11605181/	pdfs/von_2025_pmid39619775.pdf		mechanism_cytotox;clinical;leukemia;lung	downloaded_europepmc
clinical_trial	Marischen L, Fritsch J, Ilic J et al.	Two Are Better than One: The Bi-Specific Antibody Mosunetuzumab Reveals an Improved Immune Response of Vγ9Vδ2 T Cells Targeting CD20 in Malignant B Cells in Comparison to the Mono-Specific Antibody Obinutuzumab.	International journal of molecular sciences	2025	39941030	10.3390/ijms26031262	PMC11818642	https://pmc.ncbi.nlm.nih.gov/articles/PMC11818642/	pdfs/marischen_2025_pmid39941030.pdf		adoptive_expansion;Vd2_Vg9;mechanism_cytotox;clinical;lymphoma	downloaded_europepmc
clinical_trial	Vazaios K, Hernández López P, Aarts-Riemens T et al.	Unusual Partners: γδ-TCR-Based T Cell Therapy in Combination with Oncolytic Virus Treatment for Diffuse Midline Gliomas.	International journal of molecular sciences	2025	40076788	10.3390/ijms26052167	PMC11900589	https://pmc.ncbi.nlm.nih.gov/articles/PMC11900589/	pdfs/vazaios_2025_pmid40076788.pdf		CAR_gd;phosphoantigen_BTN;aminobisphosphonate;Vd2_Vg9;clinical;glioma	downloaded_europepmc
clinical_trial	Pinot L, Saßor A, Möker N et al.	Transduction of γδ T cells with Baboon envelope pseudotyped lentiviral vector encoding chimeric antigen receptors for translational and clinical applications.	Frontiers in immunology	2025	40547029	10.3389/fimmu.2025.1548630	PMC12179110	https://pmc.ncbi.nlm.nih.gov/articles/PMC12179110/	pdfs/pinot_2025_pmid40547029.pdf	supplements/40547029_PMC12179110/	CAR_gd;adoptive_expansion;Vd2_Vg9;mechanism_cytotox;clinical	downloaded_europepmc
clinical_trial	Quan A, Huo M, Li D et al.	Antibody-gamma/delta T cell receptors targeting GPC2 regress neuroblastoma with low antigen density.	Cell reports. Medicine	2025	41027430	10.1016/j.xcrm.2025.102378	PMC12629815	https://pmc.ncbi.nlm.nih.gov/articles/PMC12629815/	pdfs/quan_2025_pmid41027430.pdf		CAR_gd;adoptive_expansion;tumor_infiltrating;clinical;neuroblastoma	downloaded_europepmc
clinical_trial	Bold A, Gross H, Bardenbacher M et al.	Characterization of Stimulated γδ T Cells: Phenotypic Analysis and Implications for Allogeneic Cellular Immunotherapy.	Cells	2025	41369406	10.3390/cells14231917	PMC12691411	https://pmc.ncbi.nlm.nih.gov/articles/PMC12691411/	pdfs/bold_2025_pmid41369406.pdf		adoptive_expansion;Vd2_Vg9;mechanism_cytotox;clinical	downloaded_europepmc
clinical_trial	Ahmed J, O'Sullivan Coyne G, Rubinstein LV et al.	Phase 1 study evaluating the safety, preliminary efficacy, and pharmacodynamics of recombinant interleukin-15 in combination with nivolumab and ipilimumab in patients with refractory cancers.	Journal for immunotherapy of cancer	2025	41423268	10.1136/jitc-2025-013252	PMC12718592	https://pmc.ncbi.nlm.nih.gov/articles/PMC12718592/	pdfs/ahmed_2025_pmid41423268.pdf		tumor_infiltrating;checkpoint;clinical	downloaded_europepmc
clinical_trial	Wang S, Gu X, Xu D et al.	Comprehensive analysis of m6A modification patterns and m6A-related lncRNAs as potential biomarkers in lung adenocarcinoma.	Environmental toxicology	2024	38148718	10.1002/tox.24110		https://doi.org/10.1002/tox.24110			tumor_infiltrating;clinical;lung	no_pmcid
clinical_trial	Nguyen TT, Nguyen BT, Tran KV et al.	Experience of Autologous Immunotherapy for Non-Small Cell Lung Cancer Using Zoledronate-Actived Gammadelta T Cells.	Clinical laboratory	2024	38213197	10.7754/Clin.Lab.2023.230663		https://doi.org/10.7754/Clin.Lab.2023.230663			aminobisphosphonate;clinical;lung	no_pmcid
clinical_trial	Nakashima M, Tanaka Y, Okamura H et al.	Development of Innate-Immune-Cell-Based Immunotherapy for Adult T-Cell Leukemia-Lymphoma.	Cells	2024	38247820	10.3390/cells13020128	PMC10814776	https://pmc.ncbi.nlm.nih.gov/articles/PMC10814776/	pdfs/nakashima_2024_pmid38247820.pdf		aminobisphosphonate;adoptive_expansion;mechanism_cytotox;clinical;leukemia;lymphoma	downloaded_europepmc
clinical_trial	Song HW, Benzaoui M, Dwivedi A et al.	Manufacture of CD22 CAR T cells following positive versus negative selection results in distinct cytokine secretion profiles and γδ T cell output.	Molecular therapy. Methods & clinical development	2024	38298420	10.1016/j.omtm.2023.101171	PMC10827561	https://pmc.ncbi.nlm.nih.gov/articles/PMC10827561/	pdfs/song_2024_pmid38298420.pdf		CAR_gd;adoptive_expansion;immunosuppression;clinical;leukemia	downloaded_europepmc
clinical_trial	Nabors LB, Lamb LS, Goswami T et al.	Adoptive cell therapy for high grade gliomas using simultaneous temozolomide and intracranial mgmt-modified γδ t cells following standard post-resection chemotherapy and radiotherapy: current strategy and future directions.	Frontiers in immunology	2024	38384458	10.3389/fimmu.2024.1299044	PMC10880006	https://pmc.ncbi.nlm.nih.gov/articles/PMC10880006/	pdfs/nabors_2024_pmid38384458.pdf		CAR_gd;adoptive_expansion;mechanism_cytotox;clinical;glioma	downloaded_europepmc
clinical_trial	Mensurado S, Condeço C, Sánchez-Martínez D et al.	CD155/PVR determines acute myeloid leukemia targeting by Delta One T cells.	Blood	2024	38437507	10.1182/blood.2023022992	PMC11033583	https://pmc.ncbi.nlm.nih.gov/articles/PMC11033583/	pdfs/mensurado_2024_pmid38437507.pdf		adoptive_expansion;Vd1;mechanism_cytotox;clinical;leukemia	downloaded_europepmc
clinical_trial	von Itzstein MS, Liu J, Mu-Mosley H et al.	Differences in systemic immune parameters in individuals with lung cancer according to race.	bioRxiv : the preprint server for biology	2024	38915535	10.1101/2024.06.07.597754	PMC11195092	https://pmc.ncbi.nlm.nih.gov/articles/PMC11195092/			mechanism_cytotox;clinical;leukemia;lung	not_available_oa
