,logFC,P.Value,adj.P.Val
AQP10,1.6436384,1.58E-72,1.76E-67
C10orf32,1.6069382,7.02E-63,3.90E-58
PTPN6,1.5756834,4.80E-57,1.78E-52
AHSA2,2.0522692,4.51E-55,1.25E-50
CDH1,1.9064431,2.60E-46,5.77E-42
SMPD4,1.4242561,1.66E-42,3.08E-38
ZBTB1,1.3564476,6.38E-36,8.87E-32
C1orf144,1.170801,1.75E-33,1.77E-29
ARNTL,1.3899701,9.93E-33,9.19E-29
SPDEF,2.1204023,6.88E-30,5.46E-26
TAF9B,1.2718738,2.94E-25,1.92E-21
SETD1B,1.2526894,1.28E-24,7.89E-21
ENOSF1,1.3611872,3.42E-23,1.90E-19
LOC728734,1.3902721,1.75E-21,9.27E-18
LOC728741,1.3902721,1.75E-21,9.27E-18
PARP16,1.5055965,7.94E-21,3.83E-17
UBE2D4,1.1464989,1.35E-20,5.99E-17
ARL1,1.2650232,4.23E-20,1.81E-16
TAS2R8,1.167898,1.23E-19,4.88E-16
KLHDC9,1.8978165,1.22E-18,4.36E-15
LOC442572,1.3145083,1.83E-18,6.37E-15
MMP24,1.0953785,2.87E-18,9.65E-15
TAF9,1.2681061,2.07E-17,6.77E-14
MIPOL1,1.574303,2.46E-17,7.80E-14
RAB11FIP3,1.7405628,2.98E-17,9.19E-14
HSPBL2,1.5600429,1.98E-16,5.78E-13
HSPB1,1.5600429,1.98E-16,5.78E-13
FAM128B,1.2578251,4.61E-16,1.28E-12
GPATCH3,1.1804074,6.83E-16,1.85E-12
C1orf159,1.3251774,1.37E-15,3.62E-12
FAM9C,1.2333152,1.77E-15,4.57E-12
CXorf58,1.2833046,1.12E-14,2.70E-11
KIAA1191,1.1430641,1.57E-14,3.70E-11
PSD,1.2203262,2.11E-14,4.89E-11
PSCA,2.347145,2.41E-14,5.48E-11
IL10RB,1.2308347,4.99E-14,1.09E-10
HSF2BP,1.4215542,5.81E-14,1.24E-10
MCTS1,1.5634364,6.65E-14,1.39E-10
LRRC47,1.1711639,1.38E-13,2.78E-10
POLR2J4,1.4742151,2.09E-13,4.15E-10
OTUD1,1.1671058,6.75E-13,1.32E-09
BLNK,1.5792677,1.02E-12,1.95E-09
TUBGCP6,1.5352376,3.55E-12,6.57E-09
ZZEF1,1.0854762,3.94E-12,7.18E-09
ASMTL,1.4523119,5.50E-12,9.70E-09
ALKBH3,1.3305174,6.63E-12,1.13E-08
KHNYN,2.0342262,9.27E-12,1.54E-08
SDR39U1,2.0342262,9.27E-12,1.54E-08
EPB41L1,2.4127984,1.08E-11,1.77E-08
C3orf75,1.2124363,1.91E-11,3.04E-08
TRPM2,1.5356684,1.99E-11,3.11E-08
PTPRS,1.8934596,2.51E-11,3.83E-08
C10orf81,1.9770124,2.66E-11,4.00E-08
TSPAN31,1.1382394,4.41E-11,6.53E-08
CDK4,1.1382394,4.41E-11,6.53E-08
HMGN1,1.2482806,5.31E-11,7.76E-08
C15orf62,1.2190688,5.66E-11,8.17E-08
SETDB2,1.3392276,6.04E-11,8.49E-08
LOC643446,1.2356874,6.17E-11,8.57E-08
RNPS1,1.2356874,6.17E-11,8.57E-08
PPOX,1.2988468,9.32E-11,1.28E-07
SPDYE8P,1.4989992,9.33E-11,1.26E-07
POR,1.1789734,1.99E-10,2.66E-07
LOC651610,1.3085215,4.24E-10,5.41E-07
ATM,1.3085215,4.24E-10,5.41E-07
RMND5B,1.3724017,5.19E-10,6.55E-07
CTSW,1.4865158,5.27E-10,6.58E-07
LOC220906,1.1697514,1.04E-09,1.27E-06
CCDC15,1.2457358,1.07E-09,1.29E-06
FOXP2,1.4973183,1.16E-09,1.39E-06
TPT1,1.366477,1.66E-09,1.91E-06
MKRN3,1.9111705,1.95E-09,2.21E-06
SNRPE,1.1196202,2.00E-09,2.25E-06
LOC100130109,1.1196202,2.00E-09,2.25E-06
FIBP,1.4259665,2.07E-09,2.30E-06
ALLC,1.2184392,2.84E-09,3.12E-06
SIGIRR,1.7877226,3.55E-09,3.83E-06
PIN1L,1.3436298,3.56E-09,3.81E-06
HTT,1.7125022,4.00E-09,4.23E-06
CDH20,1.1556772,4.12E-09,4.32E-06
MFAP1,1.3627937,6.50E-09,6.62E-06
VEGFB,1.3713781,7.79E-09,7.87E-06
LRBA,1.4777253,9.55E-09,9.56E-06
RBBP4,1.630208,1.35E-08,1.31E-05
STYXL1,1.6195484,2.61E-08,2.46E-05
MPV17,1.5358086,2.75E-08,2.57E-05
UBE3B,1.3053231,2.96E-08,2.74E-05
TRMT5,1.3079358,3.07E-08,2.80E-05
FLJ35700,1.0725726,3.36E-08,3.03E-05
KIAA1009,1.3529049,3.63E-08,3.22E-05
ZNF613,1.1437731,3.64E-08,3.21E-05
ANAPC5,1.2025838,3.76E-08,3.29E-05
KIAA1598,1.1671497,4.62E-08,3.98E-05
LOC100133224,1.5572735,4.75E-08,4.06E-05
CDS1,1.1359365,4.76E-08,4.03E-05
APITD1,1.4099879,4.87E-08,4.10E-05
CORT,1.4099879,4.87E-08,4.10E-05
RESP18,1.1149443,6.28E-08,5.21E-05
SERF2,1.2542477,6.84E-08,5.63E-05
LOC728361,1.2318375,8.84E-08,7.22E-05
ELMOD3,1.6008135,1.27E-07,1.03E-04
C1orf111,1.1391495,1.34E-07,1.08E-04
LOC642838,1.4926523,1.45E-07,1.16E-04
REL,1.4871778,1.45E-07,1.15E-04
CSMD1,1.237633,1.52E-07,1.20E-04
HTR3A,1.0731504,2.34E-07,1.78E-04
TMEM175,1.3443637,2.65E-07,2.00E-04
LOC100125556,1.2096245,2.88E-07,2.16E-04
ATP5G1,1.1820477,3.26E-07,2.43E-04
CNN2,1.1385514,3.37E-07,2.50E-04
NCRNA00105,1.4248154,4.13E-07,3.04E-04
LOC100130288,1.4919428,4.52E-07,3.31E-04
TIMM17B,1.5855579,4.59E-07,3.34E-04
LPA,1.2929626,4.74E-07,3.42E-04
LOC652494,1.7356708,5.00E-07,3.58E-04
IGHM,1.7356708,5.00E-07,3.58E-04
MRFAP1,1.2495495,5.36E-07,3.82E-04
CMPK1,1.1300051,5.41E-07,3.83E-04
TRAPPC9,1.5082319,5.53E-07,3.89E-04
ATG9B,1.248685,5.69E-07,3.98E-04
C11orf61,1.3097305,5.92E-07,4.09E-04
SLC24A1,1.9728488,6.23E-07,4.27E-04
ZNF253,1.2558141,6.24E-07,4.25E-04
CCDC42,1.2522632,6.72E-07,4.55E-04
PRMT7,1.1252737,7.63E-07,5.14E-04
PAK6,1.5047219,8.59E-07,5.68E-04
ESRRA,1.1433156,8.94E-07,5.88E-04
