,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa05135,hsa05135,Yersinia infection,137/8216,3.10E-09,1.58E-07,6.02E-08,IL6/CASP1/IL1B/NLRP3/MYD88/TLR4/CD4,7
hsa05133,hsa05133,Pertussis,76/8216,3.82E-09,1.58E-07,6.02E-08,IL6/CASP1/IL1B/NLRP3/MYD88/TLR4,6
hsa05164,hsa05164,Influenza A,171/8216,1.46E-08,4.05E-07,1.54E-07,IL6/CASP1/IL1B/NLRP3/MYD88/TLR4/IFNGR1,7
hsa05142,hsa05142,Chagas disease,102/8216,2.29E-08,4.35E-07,1.66E-07,CALR/IL6/IL1B/MYD88/TLR4/IFNGR1,6
hsa04621,hsa04621,NOD-like receptor signaling pathway,186/8216,2.62E-08,4.35E-07,1.66E-07,IL6/CASP1/IL1B/NLRP3/P2RX7/MYD88/TLR4,7
hsa04659,hsa04659,Th17 cell differentiation,108/8216,3.23E-08,4.47E-07,1.70E-07,IL6/IL1R1/IL1B/CD4/FOXP3/IFNGR1,6
hsa05130,hsa05130,Pathogenic Escherichia coli infection,197/8216,3.90E-08,4.63E-07,1.76E-07,IL6/CASP1/IL1R1/IL1B/NLRP3/MYD88/TLR4,7
hsa05134,hsa05134,Legionellosis,57/8216,5.54E-08,5.75E-07,2.19E-07,IL6/CASP1/IL1B/MYD88/TLR4,5
hsa05321,hsa05321,Inflammatory bowel disease,65/8216,1.08E-07,9.98E-07,3.80E-07,IL6/IL1B/TLR4/FOXP3/IFNGR1,5
hsa05417,hsa05417,Lipid and atherosclerosis,215/8216,1.93E-06,1.58E-05,6.01E-06,IL6/CASP1/IL1B/NLRP3/MYD88/TLR4,6
hsa05144,hsa05144,Malaria,50/8216,2.09E-06,1.58E-05,6.01E-06,IL6/IL1B/MYD88/TLR4,4
hsa05171,hsa05171,Coronavirus disease - COVID-19,232/8216,3.00E-06,2.08E-05,7.90E-06,IL6/CASP1/IL1B/NLRP3/MYD88/TLR4,6
hsa05131,hsa05131,Shigellosis,247/8216,4.32E-06,2.68E-05,1.02E-05,CASP1/IL1R1/IL1B/NLRP3/MYD88/TLR4,6
hsa05132,hsa05132,Salmonella infection,249/8216,4.53E-06,2.68E-05,1.02E-05,IL6/CASP1/IL1B/NLRP3/MYD88/TLR4,6
