category	authors	title	venue	year	pmid	doi	pmcid	url	fulltext_xml	topics	status
gd2_cart_clinical	Alliot H, Machy P, Leclair MD, Birkle S, Faraj S.	Targeting GD2 with CAR-T Cell Therapy in Neuroblastoma: Updates, Challenges, and Future Perspectives	Current oncology reports	2026	42154183	10.1007/s11912-026-01796-1		https://doi.org/10.1007/s11912-026-01796-1		clinical;cytokine_release_syndrome;gd2_agent;neuroblastoma;neurotoxicity;other_solid;pediatric;review	metadata_only
gd2_cart_clinical	Carrion YL, Bhasin J, Anne S, Sawhney A, Ha CJ, Sharaf I, Santana J, Titkov K, Jean M, Thibault D, Pando A, Novakovic N, Parikh NS, Vojnic M, Sherman JH.	Locoregional and systemic adoptive cellular therapies for pediatric brain tumors: a systematic review of CAR‑T, TCR‑engineered T cells, and NK cell strategies	Neurosurgical review	2026	42566099	10.1007/s10143-026-04437-0		https://doi.org/10.1007/s10143-026-04437-0		clinical;cytokine_release_syndrome;dmg_dipg;gd2_agent;icv_intraventricular;locoregional_cns;mitigation_engineering;neurotoxicity;other_solid;pediatric;review;steroids_immunomodulation;systemic_iv	metadata_only
gd2_cart_clinical	Ciosek A, Hofmann J, Galant K, Marinkovich MP, Wierzbowska A, Ciążyńska M, Bień N, Narbutt J, Lesiak A.	Beyond Hematology-Current Insights into Chimeric Antigen Receptor (CAR) T-Cell Therapy for Skin and Connective Tissue Disorders	Cells	2026	42193884	10.3390/cells15100874	PMC13204585	https://pmc.ncbi.nlm.nih.gov/articles/PMC13204585/	fulltext/ciosek_2026_pmid42193884.xml	clinical;cytokine_release_syndrome;gd2_agent;hematologic_malignancy;neurotoxicity;other_solid;review	fulltext_xml
gd2_cart_clinical	Habibi MA, Zand A, Robat-Jazi B, Khodadadiyan A, Dashti M, Nejati N, Lorestan P, Karimizadeh Z, Ahmadpour M, Maleki F, Ahmadpour S.	The safety and efficacy of GD2-targeted CAR-T cells in patients with neuroblastoma: a systematic review and meta-analysis	European journal of medical research	2026	41530803	10.1186/s40001-025-03764-0	PMC12888293	https://pmc.ncbi.nlm.nih.gov/articles/PMC12888293/	fulltext/habibi_2026_pmid41530803.xml	clinical;gd2_agent;hematologic_coagulopathy;neuroblastoma;organ_function;other_solid;pediatric;review	fulltext_xml
gd2_cart_clinical	Hakem Zadeh F, Shah N, Bird V.	Prostate cancer and CAR-T therapy: a systematic review	BMC cancer	2026	41826891	10.1186/s12885-026-15703-1	PMC13104223	https://pmc.ncbi.nlm.nih.gov/articles/PMC13104223/	fulltext/hakem_2026_pmid41826891.xml	clinical;cytokine_release_syndrome;gd2_agent;hematologic_malignancy;mitigation_engineering;neurotoxicity;other_solid;review	fulltext_xml
gd2_cart_clinical	Sanikommu S, Santos AN, Dawoud B, Shah KH, Vazquez S, Shah AH, Lu VM.	Chimeric Antigen Receptor-T Cell Therapy for Pediatric and Young Adult Primary Central Nervous System Tumors: A Systematic Review of Early Phase Clinical Trials with a Focus on Diffuse Midline Glioma	Targeted oncology	2026	42295570	10.1007/s11523-026-01225-0		https://doi.org/10.1007/s11523-026-01225-0		clinical;cytokine_release_syndrome;dmg_dipg;gd2_agent;hematologic_malignancy;icv_intraventricular;neurotoxicity;pediatric;review;steroids_immunomodulation;systemic_iv	metadata_only
gd2_cart_clinical	Shokouhfar M, Darzi A, Ameli F, Nami MT, Khorasani SK, Eini P, Vanan AG, Bahrami N.	Immunotherapeutic advances in pediatric neuroblastoma: Overcoming resistance through biomarker-guided combinations	Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie	2026	41621264	10.1016/j.biopha.2026.119020		https://doi.org/10.1016/j.biopha.2026.119020		clinical;gd2_agent;hematologic_malignancy;infection_immune;mitigation_engineering;neuroblastoma;other_solid;pediatric;review	metadata_only
gd2_cart_clinical	Srinivasan A, Abraham A, Modak AI, Pradeep A, Nimachwala NL, Chemmancheri AV, Banu A, Azad AA, Abraham A, Khorbaladze L.	CAR T-cell therapy in pediatric brain tumors: a narrative review with comparative analysis of clinical trial eligibility criteria	Frontiers in oncology	2026	42568366	10.3389/fonc.2026.1869826		https://doi.org/10.3389/fonc.2026.1869826		clinical;dmg_dipg;gd2_agent;infection_immune;locoregional_cns;neurotoxicity;other_solid;pediatric;review	metadata_only
gd2_cart_clinical	Vazaios K, Tallon-Cobos AC, van Oosterhout LPJ, Waranecki P, Cornel AM, Dautzenberg NMM, van Hoesel M, Forbes C, Nierkens S, Kemp V, Hoeben RC, van der Lugt J, Calkoen FG, Hulleman E.	Boosting CAR T cell functionality with oncolytic viruses for the treatment of pediatric diffuse midline gliomas	Molecular therapy. Oncology	2026	42100144	10.1016/j.omton.2026.201191	PMC13145386	https://pmc.ncbi.nlm.nih.gov/articles/PMC13145386/	fulltext/vazaios_2026_pmid42100144.xml	clinical;dmg_dipg;gd2_agent;infection_immune;pediatric	fulltext_xml
gd2_cart_clinical	Wannaphut C, Thirasastr P, Livingston J, Araujo D, Conley A, Keung E, Roland C, Somaiah N.	The evolution of cellular therapies in sarcoma: Breakthroughs, challenges, and future directions	Human vaccines & immunotherapeutics	2026	42517272	10.1080/21645515.2026.2708435		https://doi.org/10.1080/21645515.2026.2708435		clinical;gd2_agent;infection_immune;other_solid;review	metadata_only
gd2_cart_clinical	DuBois SG, Moreno L, Bagatell R, Cheung NK, Gray JC, Locatelli F, Reynolds CP, Rossig C, Sondel PM, Drezner N, Kholmanshikh O, Bird N, Day L, Ludwinski D, Scobie N, Pons Sanz V, Ball S, Hammer B, Alvarez Rojo I, Meager D, Sveistrup J, Berlanga P, Casanova M, Glade-Bender J, Macy M, Morgenstern DA, Owens C, Weigel BJ, Pappo A, Nysom K, Anderson J, Ligas F, Lesa G, Donoghue M, Karres D, Vassal G.	Paediatric Strategy Forum for medicinal product development of agents targeting GD2 ganglioside in children and adolescents with cancer	European journal of cancer (Oxford, England : 1990)	2025	41240535	10.1016/j.ejca.2025.116093		https://doi.org/10.1016/j.ejca.2025.116093		clinical;gd2_agent;hematologic_malignancy;neuroblastoma;on_target_off_tumor;other_solid;pediatric;review	metadata_only
gd2_cart_clinical	Dupont M, de Bernardi A, Vanacker H, Dufresne A, Brahmi M, Blay JY.	Cellular therapies in sarcoma and other solid tumors	Current opinion in oncology	2025	40423031	10.1097/cco.0000000000001152		https://doi.org/10.1097/cco.0000000000001152		clinical;cytokine_release_syndrome;gd2_agent;grading_management;neurotoxicity;other_solid;review	metadata_only
gd2_cart_clinical	Fradin JJ, Charlson JA.	Review of Adoptive Cellular Therapies for the Treatment of Sarcoma	Cancers	2025	40282478	10.3390/cancers17081302	PMC12026197	https://pmc.ncbi.nlm.nih.gov/articles/PMC12026197/	fulltext/fradin_2025_pmid40282478.xml	clinical;gd2_agent;hematologic_malignancy;on_target_off_tumor;other_solid;review;steroids_immunomodulation	fulltext_xml
gd2_cart_clinical	Gu J, Li J, Xu Y, Zhang G, Xie J, Jia R, Chen W, Lu Z, Chang C, Wen H, Chang LJ, Ma H, Cai Q.	Preliminary exploration of PSMA CAR-T combined with GD2 CAR-T for the treatment of refractory/relapsed gliomas	Journal of translational medicine	2025	40420236	10.1186/s12967-025-06523-1	PMC12107844	https://pmc.ncbi.nlm.nih.gov/articles/PMC12107844/	fulltext/gu_2025_pmid40420236.xml	clinical;cytokine_release_syndrome;gd2_agent;hematologic_malignancy;neurotoxicity;systemic_iv	fulltext_xml
