category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
clinical_trial	Monje M, Mahdi J, Majzner R et al.	Intravenous and intracranial GD2-CAR T cells for H3K27M(+) diffuse midline gliomas.	Nature	2025	39537919	10.1038/s41586-024-08171-9	PMC11735388	https://pmc.ncbi.nlm.nih.gov/articles/PMC11735388/	pdfs/monje_2025_pmid39537919.pdf		DMG_DIPG_H3K27M;glioma_GBM	downloaded_europepmc
clinical_trial	Li CH, Sharma S, Heczey AA et al.	Long-term outcomes of GD2-directed CAR-T cell therapy in patients with neuroblastoma.	Nature medicine	2025	39962287	10.1038/s41591-025-03513-0		https://doi.org/10.1038/s41591-025-03513-0			neuroblastoma;clinical_correlates	not_available_oa
clinical_trial	Locatelli F, Pagliara D, De Ioris MA et al.	GD2-targeting CAR T cells in high-risk neuroblastoma: a phase 1/2 trial.	Nature medicine	2025	40841488	10.1038/s41591-025-03874-6		https://doi.org/10.1038/s41591-025-03874-6			neuroblastoma	not_available_oa
clinical_trial	Gargett T, Truong NTH, Gardam B et al.	Safety and biological outcomes following a phase 1 trial of GD2-specific CAR-T cells in patients with GD2-positive metastatic melanoma and other solid cancers.	Journal for immunotherapy of cancer	2024	38754916	10.1136/jitc-2023-008659	PMC11097842	https://pmc.ncbi.nlm.nih.gov/articles/PMC11097842/	pdfs/gargett_2024_pmid38754916.pdf		melanoma;clinical_correlates	downloaded_europepmc
clinical_trial	Liu Z, Zhou J, Yang X et al.	Safety and antitumor activity of GD2-Specific 4SCAR-T cells in patients with glioblastoma.	Molecular cancer	2023	36617554	10.1186/s12943-022-01711-9	PMC9827625	https://pmc.ncbi.nlm.nih.gov/articles/PMC9827625/	pdfs/liu_2023_pmid36617554.pdf		glioma_GBM	downloaded_europepmc
clinical_trial	Heczey A, Xu X, Courtney AN et al.	Anti-GD2 CAR-NKT cells in relapsed or refractory neuroblastoma: updated phase 1 trial interim results.	Nature medicine	2023	37188782	10.1038/s41591-023-02363-y		https://doi.org/10.1038/s41591-023-02363-y		supplements/heczey_2023_pmid37188782_supp.pdf	neuroblastoma;CAR-NKT;CAR-NK	supplement_only
clinical_trial	Yu L, Huang L, Lin D et al.	GD2-specific chimeric antigen receptor-modified T cells for the treatment of refractory and/or recurrent neuroblastoma in pediatric patients.	Journal of cancer research and clinical oncology	2022	34724115	10.1007/s00432-021-03839-5	PMC9470713	https://pmc.ncbi.nlm.nih.gov/articles/PMC9470713/	pdfs/yu_2022_pmid34724115.pdf		neuroblastoma	downloaded_europepmc
clinical_trial	Majzner RG, Ramakrishna S, Yeom KW et al.	GD2-CAR T cell therapy for H3K27M-mutated diffuse midline gliomas.	Nature	2022	35130560	10.1038/s41586-022-04489-4	PMC8967714	https://pmc.ncbi.nlm.nih.gov/articles/PMC8967714/	pdfs/majzner_2022_pmid35130560.pdf		DMG_DIPG_H3K27M;glioma_GBM	downloaded_europepmc
clinical_trial	Heczey A, Courtney AN, Montalbano A et al.	Anti-GD2 CAR-NKT cells in patients with relapsed or refractory neuroblastoma: an interim analysis.	Nature medicine	2020	33046868	10.1038/s41591-020-1074-2		https://doi.org/10.1038/s41591-020-1074-2		supplements/heczey_2020_pmid33046868_supp.pdf	neuroblastoma;CAR-NKT;CAR-NK	supplement_only
clinical_trial	Tanaka M, Tashiro H, Omer B et al.	Vaccination Targeting Native Receptors to Enhance the Function and Proliferation of Chimeric Antigen Receptor (CAR)-Modified T Cells.	Clinical cancer research : an official journal of the American Association for Cancer Research	2017	28183713	10.1158/1078-0432.CCR-16-2138	PMC5511585	https://pmc.ncbi.nlm.nih.gov/articles/PMC5511585/	pdfs/tanaka_2017_pmid28183713.pdf		other	downloaded_browser
clinical_trial	Stroncek DF, Lee DW, Ren J et al.	Elutriated lymphocytes for manufacturing chimeric antigen receptor T cells.	Journal of translational medicine	2017	28298232	10.1186/s12967-017-1160-5	PMC5353875	https://pmc.ncbi.nlm.nih.gov/articles/PMC5353875/	pdfs/stroncek_2017_pmid28298232.pdf		manufacturing	downloaded_unpaywall
clinical_trial	Gargett T, Yu W, Dotti G et al.	GD2-specific CAR T Cells Undergo Potent Activation and Deletion Following Antigen Encounter but can be Protected From Activation-induced Cell Death by PD-1 Blockade.	Molecular therapy : the journal of the American Society of Gene Therapy	2016	27019998	10.1038/mt.2016.63	PMC4923328	https://pmc.ncbi.nlm.nih.gov/articles/PMC4923328/	pdfs/gargett_2016_pmid27019998.pdf		other	downloaded_browser
clinical_trial	Stroncek DF, Ren J, Lee DW et al.	Myeloid cells in peripheral blood mononuclear cell concentrates inhibit the expansion of chimeric antigen receptor T cells.	Cytotherapy	2016	27210719	10.1016/j.jcyt.2016.04.003	PMC4898642	https://pmc.ncbi.nlm.nih.gov/articles/PMC4898642/	pdfs/stroncek_2016_pmid27210719.pdf		clinical_correlates	downloaded_browser
clinical_trial	Louis CU, Savoldo B, Dotti G et al.	Antitumor activity and long-term fate of chimeric antigen receptor-positive T cells in patients with neuroblastoma.	Blood	2011	21984804	10.1182/blood-2011-05-354449	PMC3234664	https://pmc.ncbi.nlm.nih.gov/articles/PMC3234664/	pdfs/louis_2011_pmid21984804.pdf		neuroblastoma	downloaded_europepmc
primary_research	Jiang C, Xu H, Shentu J et al.	GD2-CAR T Cell Therapy for H3K27M (+) Diffuse Intrinsic Pontine Glioma: A Phase I Clinical Trial and Mechanistic Insights.	Immunology	2026	40682569	10.1111/imm.70019		https://doi.org/10.1111/imm.70019			DMG_DIPG_H3K27M;glioma_GBM	not_available_oa
