lab_group	institution	country	key_investigators	product_name	construct	cell_type	safety_switch	registration	disease	route	clinical_papers	supplement_local	status
Brenner/Heslop/Rooney (CAGT)	Baylor College of Medicine / Texas Children's Hospital / Houston Methodist	USA	Malcolm Brenner; Helen Heslop; Cliona Rooney; Chrystal Louis	(unnamed 1st-gen GD2 CAR)	14g2a-CD3z (1st gen, no costim); retroviral	Autologous CD3-activated T cells (ATC) + EBV-specific CTL	none	NCT00085930	Relapsed/refractory & high-risk neuroblastoma	IV	Pule 2008 Nat Med (not in corpus); Louis 2011 Blood (PMID 21984804); Li 2025 Nat Med 18-yr follow-up (PMID 39962287)	—	completed; long-term follow-up published
Heczey/Metelitsa (CAGT)	Baylor College of Medicine / Texas Children's Hospital	USA	Andras Heczey; Leonid Metelitsa	GD2-CAR3 / iC9-GD2 (GRAIN)	14g2a-CD28-OX40-CD3z (3rd gen) + iCasp9; retroviral	Autologous T cells	iCasp9 (rimiducid/AP1903)	NCT01822652 (GRAIN)	Relapsed/refractory neuroblastoma	IV	Heczey 2017 Mol Ther (PMID 28602436)	—	completed
Heczey/Metelitsa (CAGT)	Baylor College of Medicine / Texas Children's Hospital	USA	Andras Heczey; Leonid Metelitsa	GD2-CAR.15 NKT (GINAKIT2 / GINAKIT cells)	GD2-CAR (14g2a) CD28-CD3z + transgenic IL-15; retroviral	Autologous Va24-invariant NKT cells	none (Etanercept arm for CRS prophylaxis)	NCT03294954 (GINAKIT2)	Relapsed/refractory neuroblastoma	IV	Heczey 2020 Nat Med interim (PMID 33046868); Heczey 2023 Nat Med update (PMID 37188782); Tian 2025 hyperleukocytosis case report (PMID 39800376)	heczey_2020_pmid33046868_supp.pdf; heczey_2023_pmid37188782_supp.pdf; 39800376_PMC11883886	active/recruiting
Brenner/Omer (CAGT)	Baylor College of Medicine / Texas Children's Hospital	USA	Bilal Omer; Malcolm Brenner	iC9-GD2-CAR-VZV-CTLs	14g2a-CD28-OX40-CD3z + iCasp9; retroviral (VZV vaccine boost)	Autologous VZV-specific CTL	iCasp9	NCT01953900	Relapsed/metastatic GD2+ sarcoma	IV	Tanaka 2017 Clin Cancer Res (PMID 28183713)	—	completed
Locatelli/Quintarelli/Del Bufalo	IRCCS Ospedale Pediatrico Bambino Gesu, Rome	Italy	Franco Locatelli; Concetta Quintarelli; Francesca Del Bufalo	GD2-CART01	14.G2a-CD28-OX40-CD3z (3rd gen) + iCasp9; SFG retroviral	Autologous T cells	iCasp9 (rimiducid/AP1903) — activated clinically for grade 4 CRS	NCT03373097	High-risk relapsed/refractory neuroblastoma (+ exploratory GD2+ solid)	IV	Del Bufalo 2023 NEJM (PMID 37018492); Locatelli 2025 Nat Med phase 1/2 final (PMID 40841488)	companion supps: 33737337_PMC7978286 (Caforio 2021); 34772439_PMC8588686 (Tumino 2021); 38551501_PMC11145172 (Ciccone 2024)	completed phase 1/2; ORR/CR reported
Locatelli/Quintarelli/Del Bufalo	IRCCS Ospedale Pediatrico Bambino Gesu, Rome	Italy	Concetta Quintarelli; Francesca Del Bufalo; Franco Locatelli	ALLO_GD2-CART01	14.G2a-CD28-OX40-CD3z + iCasp9; SFG retroviral (allogeneic donor)	Allogeneic (HLA-matched intrafamilial) donor T cells	iCasp9 (also GvHD safeguard)	hospital-exemption (no NCT)	Relapsed/refractory neuroblastoma with failed autologous manufacture	IV	Quintarelli 2025 Nat Med (PMID 39815015)	quintarelli_2025_pmid39815015_supp.pdf	hospital-exemption case(s)
Mackall/Monje/Majzner	Stanford University	USA	Crystal Mackall; Michelle Monje; Robbie Majzner	GD2CART (DMG)	14g2a-CD8h/TM-4-1BB-CD3z + iCasp9; retroviral (CliniMACS Prodigy, dasatinib)	Autologous CD4/CD8 T cells	iCasp9 (rimiducid/AP1903)	NCT04196413	H3K27M+ diffuse midline glioma (DIPG, spinal, thalamic)	IV then intracerebroventricular (ICV) via Ommaya	Majzner 2022 Nature interim (PMID 35130560); Monje 2025 Nature final (PMID 39537919)	35130560_PMC8967714; 39537919_PMC11735388	active/recruiting; RP2D + ICV redosing
Pule/Anderson (UCL/GOSH)	UCL Cancer Institute / Great Ormond Street Hospital / Cancer Research UK / Autolus	UK	Martin Pule; John Anderson; Karin Straathof	1RG-CART	huK666 GD2 scFv-CD8-4-1BB-CD3z (2nd gen) + RQR8 (CD20/CD34 epitope); retroviral	Autologous T cells	RQR8 (rituximab-ablatable)	NCT02761915	Relapsed/refractory neuroblastoma	IV	Straathof 2020 Sci Transl Med (PMID 33239386)	—	completed phase 1
Chang (4SCAR platform)	Zhujiang Hospital / Southern Medical Univ / Shenzhen Geno-Immune	China	Lung-Ji Chang; Lin Yu	4SCAR-GD2	GD2-CD28-4-1BB-CD27-CD3z (4th gen) + iCasp9; lentiviral	Autologous T cells	iCasp9	NCT02765243	Refractory/recurrent neuroblastoma	IV	Yu 2022 J Cancer Res Clin Oncol (PMID 34724115)	34724115_PMC9470713	completed phase 1
Chang (4SCAR platform)	Shenzhen Geno-Immune Medical Institute	China	Lung-Ji Chang; Zhenghao Liu	4SCAR-GD2 (GBM)	GD2-CD28-4-1BB-CD27-CD3z (4th gen) + iCasp9; lentiviral	Autologous T cells	iCasp9	(Geno-Immune registry)	GD2+ glioblastoma	IV (± intracranial)	Liu 2023 Mol Cancer (PMID 36617554)	—	phase 1
