category	authors	title	venue	year	doi	url	local_pdf	notes
epigenetic_restoration	Kailayangiri S et al.	EZH2 Inhibition in Ewing Sarcoma Upregulates G(D2) Expression for Targeting with Gene-Modified T Cells	Molecular therapy : the journal of the American Society of Gene Therapy	2019	10.1016/j.ymthe.2019.02.014	https://pubmed.ncbi.nlm.nih.gov/30879952/	no_open_pdf_added	KEY: EZH2 inhibition in Ewing sarcoma de-represses GD2 synthase and upregulates surface GD2 for gene-modified T-cell targeting
epigenetic_restoration	Shan J et al.	A novel therapeutic strategy for osteosarcoma using anti-GD2 ADC and EZH2 inhibitor	Biomarker research	2025	10.1186/s40364-025-00800-3	https://pubmed.ncbi.nlm.nih.gov/40533837/	no_open_pdf_added	Anti-GD2 ADC + EZH2 inhibitor combination strategy in osteosarcoma (EZH2i to raise GD2)
epigenetic_restoration	Kroesen M et al.	Anti-GD2 mAb and Vorinostat synergize in the treatment of neuroblastoma	Oncoimmunology	2016	10.1080/2162402X.2016.1164919	https://pubmed.ncbi.nlm.nih.gov/27471639/	no_open_pdf_added	Anti-GD2 mAb + HDAC inhibitor vorinostat synergize in neuroblastoma (HDACi-mediated GD2 modulation)
epigenetic_restoration	van den Bijgaart RJE et al.	Combined sialic acid and histone deacetylase (HDAC) inhibitor treatment up-regulates the neuroblastoma antigen GD2	The Journal of biological chemistry	2019	10.1074/jbc.RA118.002763	https://pubmed.ncbi.nlm.nih.gov/30670592/	no_open_pdf_added	Combined sialic-acid + HDAC inhibitor treatment upregulates neuroblastoma GD2 expression
gd2_biosynthesis	Nguyen K et al.	ST8SIA1 Regulates Tumor Growth and Metastasis in TNBC by Activating the FAK-AKT-mTOR Signaling Pathway	Molecular cancer therapeutics	2018	10.1158/1535-7163.MCT-18-0399	https://pubmed.ncbi.nlm.nih.gov/30237308/	no_open_pdf_added	ST8SIA1 (GD3 synthase) regulates growth/metastasis in TNBC via FAK-AKT-mTOR; GD2/GD3 synthesis biology
gd2_biosynthesis	Sarkar TR et al.	GD3 synthase regulates epithelial-mesenchymal transition and metastasis in breast cancer	Oncogene	2015	10.1038/onc.2014.245	https://pubmed.ncbi.nlm.nih.gov/25109336/	no_open_pdf_added	GD3 synthase regulates EMT and metastasis in breast cancer
gd2_biosynthesis	Sha YL et al.	B3GALT4 remodels the tumor microenvironment through GD2-mediated lipid raft formation and the c-met/AKT/mTOR/IRF-1 axis in neuroblastoma	Journal of experimental & clinical cancer research : CR	2022	10.1186/s13046-022-02523-x	https://pubmed.ncbi.nlm.nih.gov/36284313/	no_open_pdf_added	B3GALT4 remodels TME via GD2-mediated lipid raft formation; ganglioside synthesis regulation
gd2_biosynthesis	Bhat AM et al.	GD2 and its biosynthetic enzyme GD3 synthase promote tumorigenesis in prostate cancer by regulating cancer stem cell behavior	Scientific reports	2024	10.1038/s41598-024-60052-3	https://pubmed.ncbi.nlm.nih.gov/38866755/	no_open_pdf_added	GD2 and GD3 synthase promote prostate tumorigenesis
gd2_biosynthesis	Ohkawa Y et al.	Lack of GD3 synthase (St8sia1) attenuates malignant properties of gliomas in genetically engineered mouse model	Cancer science	2021	10.1111/cas.15032	https://pubmed.ncbi.nlm.nih.gov/34145699/	no_open_pdf_added	Loss of GD3 synthase (St8sia1) attenuates malignant glioma properties (GEM model)
gd2_biosynthesis	Paret C et al.	Ganglioside Profiling Uncovers Distinct Patterns in High-Risk Neuroblastoma	International journal of molecular sciences	2025	10.3390/ijms26178431	https://pubmed.ncbi.nlm.nih.gov/40943355/	no_open_pdf_added	Ganglioside profiling reveals distinct GD2/ganglioside patterns in high-risk neuroblastoma
