category	authors	title	venue	year	doi	url	local_pdf	notes
foundational_classification	Schwartzentruber et al.	Driver mutations in histone H3.3 and chromatin remodelling genes in paediatric glioblastoma	Nature	2012	10.1038/nature10833	https://www.nature.com/articles/nature10833	no_open_pdf_added	H3F3A G34R/V discovery; ATRX/DAXX/TP53 co-alterations
foundational_classification	Wu et al.	Somatic histone H3 alterations in paediatric diffuse intrinsic pontine gliomas and non-brainstem glioblastomas	Nature Genetics	2012	10.1038/ng.1102	https://pmc.ncbi.nlm.nih.gov/articles/PMC3288377/	pdfs/wu_2012_somatic_histone_h3_alterations.pdf	Reports G34R in non-brainstem pediatric GBM
foundational_classification	Sturm et al.	Hotspot mutations in H3F3A and IDH1 define distinct epigenetic and biological subgroups of glioblastoma	Cancer Cell	2012	10.1016/j.ccr.2012.08.024	https://doi.org/10.1016/j.ccr.2012.08.024	no_open_pdf_added	G34 as distinct epigenetic/methylation subgroup
foundational_classification	Korshunov et al.	Histologically distinct neuroepithelial tumors with histone 3 G34 mutation are molecularly similar and comprise a single nosologic entity	Acta Neuropathologica	2016	10.1007/s00401-016-1577-1	https://epub.ub.uni-muenchen.de/46314/	no_open_pdf_added	Unified nosologic entity; 3q/4q loss; PDGFRA/CCND2; MGMT prognostic association
lineage_single_cell	Bjerke et al.	Histone H3.3 mutations drive pediatric glioblastoma through upregulation of MYCN	Cancer Discovery	2013	10.1158/2159-8290.CD-12-0426	https://pubmed.ncbi.nlm.nih.gov/23539269/	no_open_pdf_added	Developing forebrain program and MYCN upregulation
lineage_single_cell	Chen et al.	Histone H3.3G34-mutant interneuron progenitors co-opt PDGFRA for gliomagenesis	Cell	2020	10.1016/j.cell.2020.11.012	https://pmc.ncbi.nlm.nih.gov/articles/PMC7791404/	pdfs/chen_2020_h3g34_interneuron_pdgra.pdf	GSX2/DLX+ interneuron progenitor origin; PDGFRA co-option; dual neuronal/astroglial identity
lineage_single_cell	Liu et al.	GABAergic neuronal lineage development determines clinically actionable targets in diffuse hemispheric glioma, H3G34-mutant	Cancer Cell	2024	10.1016/j.ccell.2024.08.006	https://pmc.ncbi.nlm.nih.gov/articles/PMC11865364/	pdfs/liu_2024_gabaergic_lineage_cdk6.pdf	GABAergic lineage hierarchy; spatial developmental niches; CDK6 vulnerability
epigenetic_dna_repair	Jain et al.	Histone H3G34R mutation causes replication stress, homologous recombination defects and genomic instability in S. pombe	eLife	2017	10.7554/eLife.27406	https://elifesciences.org/articles/27406	pdfs/jain_2017_h3g34r_replication_stress.pdf	Replication stress and homologous recombination defects
epigenetic_dna_repair	Fang et al.	Cancer-driving H3G34V/R/D mutations block H3K36 methylation and H3K36me3-MutSalpha interaction	PNAS	2018	10.1073/pnas.1806355115	https://pmc.ncbi.nlm.nih.gov/articles/PMC6156674/	pdfs/fang_2018_h3g34_h3k36_mutsalpha.pdf	SETD2/H3K36 methylation and mismatch repair impairment
epigenetic_dna_repair	Juretic et al.	Histone H3.3 G34 mutations promote aberrant PRC2 activity and drive tumor progression	PNAS	2020	10.1073/pnas.2006076117	https://pmc.ncbi.nlm.nih.gov/articles/PMC7959516/	pdfs/juretic_2020_h3g34_prc2.pdf	Aberrant PRC2/H3K27me3 activity and tumor progression
epigenetic_dna_repair	Haase et al.	H3.3-G34 mutations impair DNA repair and promote cGAS/STING-mediated immune responses in pediatric high-grade glioma models	JCI	2022	10.1172/JCI154229	https://www.jci.org/articles/view/154229	pdfs/haase_2022_h3g34_dna_repair_cgas_sting.pdf	DNA repair impairment and cGAS/STING immune activation
epigenetic_dna_repair	Kfoury et al.	Alternative lengthening of telomere-based immortalization renders H3G34R-mutant diffuse hemispheric glioma hypersensitive to PARP inhibitor combination regimens	Neuro-Oncology	2025	10.1093/neuonc/noae228	https://pmc.ncbi.nlm.nih.gov/articles/PMC11889718/	pdfs/kfoury_2025_h3g34r_alt_parp.pdf	ALT biology and PARP inhibitor combinations
clinical_genomics_tme	Hu et al.	High frequency of PDGFRA and MUC family gene mutations in diffuse hemispheric glioma, H3 G34-mutant: a glimmer of hope?	Journal of Translational Medicine	2022	10.1186/s12967-022-03258-1	https://translational-medicine.biomedcentral.com/articles/10.1186/s12967-022-03258-1	pdf_download_blocked; see URL	PDGFRA/MUC mutations and immune infiltration characterization
