relevance	category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
core	primary_research	Podojil JR, Hecht I, Chiang MY et al.	ILDR2-Fc Is a Novel Regulator of Immune Homeostasis and Inducer of Antigen-Specific Immune Tolerance.	Journal of immunology (Baltimore, Md. : 1950)	2018	29431690	10.4049/jimmunol.1700326	PMC6830572	https://pmc.ncbi.nlm.nih.gov/articles/PMC6830572/			Fc_fusion;immune_tolerance;autoimmunity;EAE;type1_diabetes;transplant	free_at_publisher_pmc; blocked_recaptcha
core	primary_research	Hecht I, Toporik A, Podojil JR et al.	ILDR2 Is a Novel B7-like Protein That Negatively Regulates T Cell Responses.	Journal of immunology (Baltimore, Md. : 1950)	2018	29431694	10.4049/jimmunol.1700325	PMC6860365	https://pmc.ncbi.nlm.nih.gov/articles/PMC6860365/			antibody_discovery;checkpoint_biology;Fc_fusion;T_cell_inhibition;autoimmunity;B7_family	free_at_publisher_pmc; blocked_recaptcha
core	primary_research	Huetter J, Gritzan U, Gutcher I et al.	Characterization of BAY 1905254, an Immune Checkpoint Inhibitor Targeting the Immunoglobulin-Like Domain Containing Receptor 2 (ILDR2).	Cancer immunology research	2020	32312711	10.1158/2326-6066.cir-19-0321		https://doi.org/10.1158/2326-6066.cir-19-0321			therapeutic_antibody;BAY_1905254;checkpoint_blockade;tumor_immunology;antagonist_mAb	not_available_oa; paywalled_aacr
core	review	Ahangar NK, Hemmat N, Khalaj-Kondori M et al.	The Regulatory Cross-Talk between microRNAs and Novel Members of the B7 Family in Human Diseases: A Scoping Review.	International journal of molecular sciences	2021	33800752	10.3390/ijms22052652	PMC7962059	https://pmc.ncbi.nlm.nih.gov/articles/PMC7962059/	pdfs/ahangar_2021_pmid33800752.pdf		review;checkpoint_biology;B7_family;microRNA;immunoregulation	downloaded_europepmc
core	review	Bolandi N, Derakhshani A, Hemmat N et al.	The Positive and Negative Immunoregulatory Role of B7 Family: Promising Novel Targets in Gastric Cancer Treatment.	International journal of molecular sciences	2021	34639059	10.3390/ijms221910719	PMC8509619	https://pmc.ncbi.nlm.nih.gov/articles/PMC8509619/	pdfs/bolandi_2021_pmid34639059.pdf		review;checkpoint_biology;B7_family;tumor_immunology;gastric_cancer	downloaded_europepmc
core	primary_research	Sabaie H, Tamimi P, Gharesouran J et al.	Expression analysis of inhibitory B7 family members in Alzheimer's disease.	Metabolic brain disease	2023	37665469	10.1007/s11011-023-01274-8		https://doi.org/10.1007/s11011-023-01274-8			checkpoint_biology;B7_family;expression_profiling;neuroinflammation	not_available_oa; paywalled_springer
core	primary_research	Sultana F, Widyagarini A, Kawano Y et al.	Sublingual macrophage-associated ILDR2 contributes to immune tolerance via Treg induction.	Biochemical and biophysical research communications	2025	39626366	10.1016/j.bbrc.2024.151009		https://doi.org/10.1016/j.bbrc.2024.151009			research_antibody;monoclonal_antibody;immune_tolerance;Treg;macrophage;mucosal	not_available_oa; paywalled_elsevier
context	primary_research	Dokmanovic-Chouinard M, Chung WK, Chevre JC et al.	"Positional cloning of ""Lisch-Like"", a candidate modifier of susceptibility to type 2 diabetes in mice."	PLoS genetics	2008	18654634	10.1371/journal.pgen.1000137	PMC2464733	https://pmc.ncbi.nlm.nih.gov/articles/PMC2464733/	pdfs/dokmanovic_chouinard_2008_pmid18654634.pdf		target_biology;positional_cloning;diabetes_modifier;beta_cell;Lisch_like	downloaded_plos
context	primary_research	Higashi T, Tokuda S, Kitajiri S et al.	Analysis of the 'angulin' proteins LSR, ILDR1 and ILDR2--tricellulin recruitment, epithelial barrier function and implication in deafness pathogenesis.	Journal of cell science	2013	23239027	10.1242/jcs.116442		https://doi.org/10.1242/jcs.116442			target_biology;angulin;tight_junction;tricellulin	free_after_embargo; publisher_ip_blocked
context	primary_research	Watanabe K, Watson E, Cremona ML et al.	ILDR2: an endoplasmic reticulum resident molecule mediating hepatic lipid homeostasis.	PloS one	2013	23826244	10.1371/journal.pone.0067234	PMC3691114	https://pmc.ncbi.nlm.nih.gov/articles/PMC3691114/	pdfs/watanabe_2013_pmid23826244.pdf		target_biology;hepatic_lipid;ER;metabolism;diabetes	downloaded_plos
context	review	Joost HG, Schürmann A	The genetic basis of obesity-associated type 2 diabetes (diabesity) in polygenic mouse models.	Mammalian genome : official journal of the International Mammalian Genome Society	2014	24752583	10.1007/s00335-014-9514-2	PMC4164836	https://pmc.ncbi.nlm.nih.gov/articles/PMC4164836/	pdfs/joost_2014_pmid24752583.pdf		review;diabetes;obesity;genetics	downloaded_europepmc
context	review	Furuse M	[Molecular organization of tricellular tight junctions].	Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan	2014	24790043	10.1248/yakushi.14-00006-1		https://doi.org/10.1248/yakushi.14-00006-1			review;tight_junction;angulin;tricellular_junction	not_available_oa; paywalled
context	review	Kitajiri S, Katsuno T	Tricellular Tight Junctions in the Inner Ear.	BioMed research international	2016	27195292	10.1155/2016/6137541	PMC4852330	https://pmc.ncbi.nlm.nih.gov/articles/PMC4852330/	pdfs/kitajiri_2016_pmid27195292.pdf		review;tight_junction;inner_ear;angulin	downloaded_europepmc
context	primary_research	Watanabe K, Nakayama K, Ohta S et al.	ZNF70, a novel ILDR2-interacting protein, contributes to the regulation of HES1 gene expression.	Biochemical and biophysical research communications	2016	27353377	10.1016/j.bbrc.2016.06.124		https://doi.org/10.1016/j.bbrc.2016.06.124			target_biology;interactome;ZNF70;HES1;transcription	not_available_oa; paywalled_elsevier
context	primary_research	Liu Y, Nie H, Liu C et al.	Angulin proteins ILDR1 and ILDR2 regulate alternative pre-mRNA splicing through binding to splicing factors TRA2A, TRA2B, or SRSF1.	Scientific reports	2017	28785060	10.1038/s41598-017-07530-z	PMC5547134	https://pmc.ncbi.nlm.nih.gov/articles/PMC5547134/	pdfs/liu_2017_pmid28785060.pdf		target_biology;angulin;pre_mRNA_splicing;ILDR1	downloaded_europepmc
context	primary_research	Kolosov D, Kelly SP	Tricellular tight junction-associated angulins in the gill epithelium of rainbow trout.	American journal of physiology. Regulatory, integrative and comparative physiology	2018	29631364	10.1152/ajpregu.00431.2017	PMC6139612	https://pmc.ncbi.nlm.nih.gov/articles/PMC6139612/	pdfs/kolosov_2018_pmid29631364.pdf		target_biology;angulin;tight_junction;comparative_physiology	downloaded_europepmc
