category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
circrna	Zhang Y, Song X, Feng Y et al.	The circRNA cEMSY Induces Immunogenic Cell Death and Boosts Immunotherapy Efficacy in Lung Adenocarcinoma	Cancer research	2025	39531509	10.1158/0008-5472.CAN-24-1484	PMC11786956	https://pmc.ncbi.nlm.nih.gov/articles/PMC11786956/		fulltext/zhang_2025_pmid39531509.xml	circrna;mrna_tf_reprogramming	fulltext_xml
gene_editing	Huang F, Yuan F, Li K et al.	Programmable mRNA 3'UTR engineering restores MHC-I and overcomes immune evasion in prostate cancer	Nature biomedical engineering	2026	42303814	10.1038/s41551-026-01720-9	PMC13297525	https://pmc.ncbi.nlm.nih.gov/articles/PMC13297525/			gene_editing	metadata_only
gene_editing	Mashreghi M, Rezazade Bazaz M, Jaafari MR	CRISPR-Cas9 lipid nanoparticles for targeting cyclin-dependent kinases in the tumor microenvironment	Biotechnology progress	2026	41606801	10.1002/btpr.70105		https://doi.org/10.1002/btpr.70105			gene_editing;lnp_engineering	metadata_only
gene_editing	Streiber M, Liu N, Simon L et al.	Extrahepatic Gene Editing In Vivo Using Organic Solvent-Free Lipid Nanoparticles	Small (Weinheim an der Bergstrasse, Germany)	2026	41913646	10.1002/smll.202511489	PMC13173322	https://pmc.ncbi.nlm.nih.gov/articles/PMC13173322/		fulltext/streiber_2026_pmid41913646.xml	gene_editing;lnp_engineering	fulltext_xml
gene_editing	Xu Z, Haghighat M, Shafiabady N et al.	Nuclear-targeted CRISPR/Cas delivery by using aptamer-modified polymer lipid nanoparticles	Nanomedicine : nanotechnology, biology, and medicine	2026	41825677	10.1016/j.nano.2026.102928		https://doi.org/10.1016/j.nano.2026.102928			gene_editing	metadata_only
gene_editing	Zeng Y, Zhao G, Wu S et al.	CD44-targeted lipid nanoparticles for enhanced CRISPR/Cas9 delivery in cancer gene editing	Journal of controlled release : official journal of the Controlled Release Society	2026	41494604	10.1016/j.jconrel.2025.114598		https://doi.org/10.1016/j.jconrel.2025.114598			gene_editing;lnp_engineering	metadata_only
gene_editing	Gabelmann A, Mansouri-Ghahnavieh E, Koch M et al.	A novel lipopolyplex platform for dual mRNA delivery via core- and surface-loading	Journal of controlled release : official journal of the Controlled Release Society	2025	40412659	10.1016/j.jconrel.2025.113875		https://doi.org/10.1016/j.jconrel.2025.113875			gene_editing;lnp_engineering	metadata_only
gene_editing	Han Z, Huang C, Luo T et al.	A general genome editing strategy using CRISPR lipid nanoparticle spherical nucleic acids	Proceedings of the National Academy of Sciences of the United States of America	2025	40906807	10.1073/pnas.2426094122	PMC12435252	https://pmc.ncbi.nlm.nih.gov/articles/PMC12435252/		fulltext/han_2025_pmid40906807.xml	gene_editing	fulltext_xml
gene_editing	Lee S, Kim K, Jeong HJ et al.	Combining Multiplexed CRISPR/Cas9-Nickase and PARP Inhibitors Efficiently and Precisely Targets Cancer Cells	Cancer research	2025	40327605	10.1158/0008-5472.CAN-24-2938	PMC12314522	https://pmc.ncbi.nlm.nih.gov/articles/PMC12314522/		fulltext/lee_2025_pmid40327605.xml	gene_editing	fulltext_xml
gene_editing	Lu X, Zhu Y, Wei C et al.	A multistep platform identifies spleen-tropic lipid nanoparticles for in vivo T cell-targeted delivery of gene-editing proteins	Science advances	2025	41124242	10.1126/sciadv.ady5579	PMC12542943	https://pmc.ncbi.nlm.nih.gov/articles/PMC12542943/	pdfs/lu_2025_pmid41124242.pdf	fulltext/lu_2025_pmid41124242.xml	gene_editing;lnp_engineering	downloaded
gene_editing	Mao K, Tan H, Cong X et al.	Optimized lipid nanoparticles enable effective CRISPR/Cas9-mediated gene editing in dendritic cells for enhanced immunotherapy	Acta pharmaceutica Sinica. B	2025	40041907	10.1016/j.apsb.2024.08.030	PMC11873634	https://pmc.ncbi.nlm.nih.gov/articles/PMC11873634/		fulltext/mao_2025_pmid40041907.xml	gene_editing	fulltext_xml
gene_editing	Masarwy R, Breier D, Stotsky-Oterin L et al.	Targeted CRISPR/Cas9 Lipid Nanoparticles Elicits Therapeutic Genome Editing in Head and Neck Cancer	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2025	39736115	10.1002/advs.202411032	PMC11831472	https://pmc.ncbi.nlm.nih.gov/articles/PMC11831472/		fulltext/masarwy_2025_pmid39736115.xml	gene_editing;lnp_engineering;clinical	fulltext_xml
gene_editing	Rouatbi N, Walters AA, Zam A et al.	CD47 Knock-Out Using CRISPR-Cas9 RNA Lipid Nanocarriers Results in Reduced Mesenchymal Glioblastoma Growth In Vivo	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2025	39888280	10.1002/advs.202407262	PMC11948039	https://pmc.ncbi.nlm.nih.gov/articles/PMC11948039/		fulltext/rouatbi_2025_pmid39888280.xml	gene_editing	fulltext_xml
gene_editing	Stauber D, Sosnick L, Ma Y et al.	CRISPR-Cas13d-Mediated Targeting of a Context-Specific Essential Gene Enables Selective Elimination of Uveal Melanoma	bioRxiv : the preprint server for biology	2025	40894775	10.1101/2025.08.21.671629	PMC12393512	https://pmc.ncbi.nlm.nih.gov/articles/PMC12393512/		fulltext/stauber_2025_pmid40894775.xml	gene_editing	fulltext_xml
gene_editing	Xue L, Zhao G, Gong N et al.	Combinatorial design of siloxane-incorporated lipid nanoparticles augments intracellular processing for tissue-specific mRNA therapeutic delivery	Nature nanotechnology	2025	39354147	10.1038/s41565-024-01747-6	PMC12207990	https://pmc.ncbi.nlm.nih.gov/articles/PMC12207990/			gene_editing;lnp_engineering	metadata_only
gene_editing	Xue Y, Wang C, Li H et al.	Lipid Nanoparticles Enhance mRNA Delivery to the Central Nervous System Upon Intrathecal Injection	Advanced materials (Deerfield Beach, Fla.)	2025	40317512	10.1002/adma.202417097	PMC12245596	https://pmc.ncbi.nlm.nih.gov/articles/PMC12245596/			gene_editing;lnp_engineering	metadata_only
gene_editing	Yang X, Li W, Yang S et al.	Gene Therapy with Enterovirus 3 C Protease: A Promising Strategy for Various Solid Tumors	Nature communications	2025	40340965	10.1038/s41467-025-59440-8	PMC12062448	https://pmc.ncbi.nlm.nih.gov/articles/PMC12062448/		fulltext/yang_2025_pmid40340965.xml	gene_editing	fulltext_xml
gene_editing	Zhang Y, Rabinovsky R, Deforzh E et al.	Lipid nanoparticle formulation for gene editing and RNA-based therapies for glioblastoma	Neuro-oncology	2025	40653819	10.1093/neuonc/noaf162	PMC12908484	https://pmc.ncbi.nlm.nih.gov/articles/PMC12908484/		fulltext/zhang_2025_pmid40653819.xml	gene_editing;lnp_engineering	fulltext_xml
gene_editing	Zhang Y, Shao B, Jiang K et al.	Fluorinated Ionizable Lipids for Efficient Spleen-Targeted mRNA Delivery in Cancer Immunotherapy	Journal of the American Chemical Society	2025	41162324	10.1021/jacs.5c13982		https://doi.org/10.1021/jacs.5c13982			gene_editing;lnp_engineering	metadata_only
gene_editing	Fieni C, Ciummo SL, Sorrentino C et al.	Prevention of prostate cancer metastasis by a CRISPR-delivering nanoplatform for interleukin-30 genome editing	Molecular therapy : the journal of the American Society of Gene Therapy	2024	39244641	10.1016/j.ymthe.2024.09.011	PMC11573607	https://pmc.ncbi.nlm.nih.gov/articles/PMC11573607/		fulltext/fieni_2024_pmid39244641.xml	gene_editing	fulltext_xml
gene_editing	Han EL, Padilla MS, Palanki R et al.	Predictive High-Throughput Platform for Dual Screening of mRNA Lipid Nanoparticle Blood-Brain Barrier Transfection and Crossing	Nano letters	2024	38259198	10.1021/acs.nanolett.3c03509	PMC11922166	https://pmc.ncbi.nlm.nih.gov/articles/PMC11922166/			gene_editing;lnp_engineering	metadata_only
gene_editing	Im SH, Jang M, Park JH et al.	Finely tuned ionizable lipid nanoparticles for CRISPR/Cas9 ribonucleoprotein delivery and gene editing	Journal of nanobiotechnology	2024	38609947	10.1186/s12951-024-02427-2	PMC11015636	https://pmc.ncbi.nlm.nih.gov/articles/PMC11015636/		fulltext/im_2024_pmid38609947.xml	gene_editing;lnp_engineering	fulltext_xml
gene_editing	Lian X, Chatterjee S, Sun Y et al.	Bone-marrow-homing lipid nanoparticles for genome editing in diseased and malignant haematopoietic stem cells	Nature nanotechnology	2024	38783058	10.1038/s41565-024-01680-8	PMC11757007	https://pmc.ncbi.nlm.nih.gov/articles/PMC11757007/			gene_editing	metadata_only
gene_editing	Rouatbi N, Walters AA, Costa PM et al.	RNA lipid nanoparticles as efficient in vivo CRISPR-Cas9 gene editing tool for therapeutic target validation in glioblastoma cancer stem cells	Journal of controlled release : official journal of the Controlled Release Society	2024	39284526	10.1016/j.jconrel.2024.09.019		https://doi.org/10.1016/j.jconrel.2024.09.019	pdfs/rouatbi_2024_pmid39284526.pdf		gene_editing	downloaded
gene_editing	Sarkar S, Moitra P, Duan W et al.	A Multifunctional Aptamer Decorated Lipid Nanoparticles for the Delivery of EpCAM-targeted CRISPR/Cas9 Plasmid for Efficacious In Vivo Tumor Regression	Advanced healthcare materials	2024	39212195	10.1002/adhm.202402259		https://doi.org/10.1002/adhm.202402259			gene_editing	metadata_only
gene_editing	Wang Y, Peng Y, Zi G et al.	Co-delivery of Cas9 mRNA and guide RNAs for editing of LGMN gene represses breast cancer cell metastasis	Scientific reports	2024	38582932	10.1038/s41598-024-58765-6	PMC10998893	https://pmc.ncbi.nlm.nih.gov/articles/PMC10998893/		fulltext/wang_2024_pmid38582932.xml	gene_editing	fulltext_xml
