axis	evidence	population	settings	treatments	names_entity	authors	title	venue	year	cited	pmid	doi	pmcid	url	local_fulltext	status
core_lph	case_series_or_cohort	unspecified	shunt_dependent_prior	subzero_evd;titrated_evd;shunt_or_valve;active_pump_shunt	yes	Pang D, Altschuler E.	Low-pressure hydrocephalic state and viscoelastic alterations in the brain	Neurosurgery	1994	96	7808607	10.1227/00006123-199410000-00010		https://pubmed.ncbi.nlm.nih.gov/7808607/		metadata_only
core_lph	systematic_review	mixed	lumbar_puncture_or_drain	subzero_evd;titrated_evd;etv;shunt_or_valve	yes	Keough MB, Isaacs AM, Urbaneja G, Dronyk J, Lapointe AP, Hamilton MG.	Acute low-pressure hydrocephalus: a case series and systematic review of 195 patients	Journal of neurosurgery	2021	16	32736355	10.3171/2020.4.jns20476		https://pubmed.ncbi.nlm.nih.gov/32736355/		metadata_only
core_lph	case_series_or_cohort	adult	sah_aneurysm;infection_inflammatory;intraventricular_hemorrhage;aqueductal_obstructive	subzero_evd;shunt_or_valve	yes	Lesniak MS, Clatterbuck RE, Rigamonti D, Williams MA.	Low pressure hydrocephalus and ventriculomegaly: hysteresis, non-linear dynamics, and the benefits of CSF diversion	British journal of neurosurgery	2002	45	12617236	10.1080/02688690209168360		https://pubmed.ncbi.nlm.nih.gov/12617236/		metadata_only
core_lph	case_series_or_cohort	unspecified	sah_aneurysm;intraventricular_hemorrhage;shunt_dependent_prior	shunt_or_valve;elastography_imaging	yes	Czorlich P, Schweingruber N, Göttsche J, Mader MM, Westphal M.	Acute low-pressure hydrocephalus in aneurysmal subarachnoid hemorrhage	Neurosurgical focus	2023	11	37004138	10.3171/2023.1.focus22639		https://pubmed.ncbi.nlm.nih.gov/37004138/		metadata_only
core_lph	case_report	unspecified	skull_base_csf_leak;shunt_dependent_prior	subzero_evd;titrated_evd;neck_wrapping;shunt_or_valve;csf_leak_repair	yes	Filippidis AS, Kalani MY, Nakaji P, Rekate HL.	Negative-pressure and low-pressure hydrocephalus: the role of cerebrospinal fluid leaks resulting from surgical approaches to the cranial base	Journal of neurosurgery	2011	39	21800965	10.3171/2011.6.jns101504		https://pubmed.ncbi.nlm.nih.gov/21800965/		metadata_only
core_lph	case_report	unspecified	sah_aneurysm;tumor_posterior_fossa;infection_inflammatory;shunt_dependent_prior	subzero_evd;titrated_evd;shunt_or_valve;active_pump_shunt	yes	Akins PT, Guppy KH, Axelrod YV, Chakrabarti I, Silverthorn J, Williams AR.	The genesis of low pressure hydrocephalus	Neurocritical care	2011	37	21523524	10.1007/s12028-011-9543-6		https://pubmed.ncbi.nlm.nih.gov/21523524/		metadata_only
core_lph	case_report	unspecified	tumor_posterior_fossa;shunt_dependent_prior	titrated_evd;etv;shunt_or_valve	yes	Rekate HL, Nadkarni TD, Wallace D.	The importance of the cortical subarachnoid space in understanding hydrocephalus	Journal of neurosurgery. Pediatrics	2008	75	18590387	10.3171/ped/2008/2/7/001		https://pubmed.ncbi.nlm.nih.gov/18590387/		metadata_only
core_lph	case_series_or_cohort	unspecified	shunt_dependent_prior	subzero_evd;titrated_evd;shunt_or_valve;active_pump_shunt	yes	Owler BK, Jacobson EE, Johnston IH.	Low pressure hydrocephalus: issues of diagnosis and treatment in five cases	British journal of neurosurgery	2001	26	11599454	10.1080/02688690120072531		https://pubmed.ncbi.nlm.nih.gov/11599454/		metadata_only
core_lph	case_report	pediatric	shunt_dependent_prior	shunt_or_valve	yes	Vassilyadi M, Farmer JP, Montes JL.	Negative-pressure hydrocephalus	Journal of neurosurgery	1995	32	7666227	10.3171/jns.1995.83.3.0486		https://pubmed.ncbi.nlm.nih.gov/7666227/		metadata_only
core_lph	case_series_or_cohort	adult	tumor_posterior_fossa;infection_inflammatory;trauma;shunt_dependent_prior	titrated_evd;shunt_or_valve	yes	Wu X, Zang D, Wu X, Sun Y, Yu J, Hu J.	Diagnosis and Management for Secondary Low- or Negative-Pressure Hydrocephalus and a New Hydrocephalus Classification Based on Ventricular Pressure	World neurosurgery	2019	14	30611954	10.1016/j.wneu.2018.12.123		https://pubmed.ncbi.nlm.nih.gov/30611954/		metadata_only
core_lph	review	pediatric	lumbar_puncture_or_drain	shunt_or_valve;csf_leak_repair	yes	Smalley ZS, Venable GT, Einhaus S, Klimo P.	Low-pressure Hydrocephalus in Children: A Case Series and Review of the Literature	Neurosurgery	2017	18	28362957	10.1093/neuros/nyw046		https://pubmed.ncbi.nlm.nih.gov/28362957/		metadata_only
core_lph	case_report	unspecified		shunt_or_valve;active_pump_shunt	yes	Kalani MY, Turner JD, Nakaji P.	Treatment of refractory low-pressure hydrocephalus with an active pumping negative-pressure shunt system	Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia	2013	21	23380444	10.1016/j.jocn.2012.04.027		https://pubmed.ncbi.nlm.nih.gov/23380444/		metadata_only
core_lph	case_series_or_cohort	adult	shunt_dependent_prior	shunt_or_valve	yes	Funnell JP, D'Antona L, Craven CL, Thorne L, Watkins LD, Toma AK.	Ultra-low-pressure hydrocephalic state in NPH: benefits of therapeutic siphoning with adjustable antigravity valves	Acta neurochirurgica	2020	6	32989519	10.1007/s00701-020-04596-z		https://pubmed.ncbi.nlm.nih.gov/32989519/		metadata_only
core_lph	case_series_or_cohort	unspecified			yes	Kuba H, Inamura T, Ikezaki K, Inoha S, Nakamizo A, Shono T, Fukui K, Fukui M.	Gait disturbance in patients with low pressure hydrocephalus	Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia	2002	15	11749014	10.1054/jocn.2001.1010		https://pubmed.ncbi.nlm.nih.gov/11749014/		metadata_only
core_lph	case_report	adult	shunt_dependent_prior;aqueductal_obstructive	subzero_evd;shunt_or_valve;elastography_imaging	yes	Olivero WC, Biswas A, Wszalek TM, Sutton BP, Johnson CL.	Brain stiffness following recovery in a patient with an episode of low-pressure hydrocephalus: case report	Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery	2021	7	33030603	10.1007/s00381-020-04922-x		https://pubmed.ncbi.nlm.nih.gov/33030603/		metadata_only
core_lph	case_report	mixed	tumor_posterior_fossa;skull_base_csf_leak;lumbar_puncture_or_drain;shunt_dependent_prior	shunt_or_valve;csf_leak_repair	yes	Vilela MD, Pedrosa HA, Mesquita BF, Horiguchi CLF.	Low-Pressure Hydrocephalus and Shunt Malfunction Following a Lumbar Puncture in an Adult Reversed by an Epidural Blood Patch	World neurosurgery	2020	6	32712403	10.1016/j.wneu.2020.07.134	PMC7377781	https://pmc.ncbi.nlm.nih.gov/articles/PMC7377781/	fulltext/vilela_2020_pmid32712403.xml	oa_xml
core_lph	case_report	unspecified		titrated_evd	yes	Clarke MJ, Maher CO, Nothdurft G, Meyer F.	Very low pressure hydrocephalus. Report of two cases	Journal of neurosurgery	2006	17	16961147	10.3171/jns.2006.105.3.475		https://pubmed.ncbi.nlm.nih.gov/16961147/		metadata_only
