category	authors	title	venue	year	doi	url	local_pdf	notes
naeimi_gdT_primary	Naeimi Kararoudi M (inventor); Research Institute at Nationwide Children's Hospital	Compositions and methods of making a modified gamma-delta T-cell (WO2025123022A1)	WIPO PCT (PCT/US2024/059195)	2025	n/a	https://patents.google.com/patent/WO2025123022A1/en	no_open_pdf_added	CORE DOCUMENT. Claims: negative-selection gdT isolation; plate-bound anti-CD3 (+/- CD28) priming >=6 h, 1-7 d, claimed >=2 d; then K562.mbIL21.4-1BBL (CStX-002) feeders >=2:1 + 100 IU IL-2 q48h; edit d14-21 with Cas9/RNP (4D-Nucleofector P3, CM-137) + AAV6 MOI 75K; CD70 KO + CD70-CAR into AAVS1; also CD38/CD33/TGFbRII. Claims 39-46 = mbIL21 feeder culture as a method of making gdT susceptible to gene editing
naeimi_gdT_primary	Portillo AL, Mehboob M, Snyder G, ... Lee DA, Naeimi Kararoudi M, Ashkar AA	IL-21-reprogrammed Vd1 T cells exert killing against solid tumors which is enhanced by CAR arming for off-the-shelf immunotherapy	OncoImmunology	2025	10.1080/2162402X.2025.2562210	https://pmc.ncbi.nlm.nih.gov/articles/PMC12477882/	no_open_pdf_added	Only peer-reviewed gdT paper. K562-mbIL21 1:2, 100 U/mL IL-2, weekly irradiated feeders, >=5 wk, NO TCR agonist; Vd1-dominant; 500-fold (PBMC) / 26,000-fold (CD3+); TIGIT/TIM3 high; metabolically fit in ovarian ascites vs zoledronate-Vd2 losing CD71; HER2-CAR via Cas9/RNP + ssAAV6 300K MOI. Discussion explicitly: shortening expansion may avoid gdT exhaustion
naeimi_gdT_primary	Portillo AL, et al.	Development of human ex vivo expanded Vd1 gdT cells armed with CAR as a metabolically fit off-the-shelf cell therapy for solid tumors (abstr 2995)	J Immunol	2025	10.1093/jimmun/vkaf283.844	https://doi.org/10.1093/jimmun/vkaf283.844	no_open_pdf_added	Conference abstract version of the OncoImmunology paper
naeimi_gdT_ip	Naeimi Kararoudi M, Martin A, Sezgin Y, Snyder G	Generation and Expansion of Novel CAR-expressing CD8+ gdNKT Cell as an Off-the-Shelf CAR-T Therapy (TS-005689)	NCH Tech Transfer listing	n/a	n/a	https://nch.innovatehosted.com/available_technologies/?search=Naeimi+Kararoudi%2C+Meisam	no_open_pdf_added	Title pairs "generation AND expansion" -> implies a distinct culture protocol for a CD8+ gd/NKT-like product. No public method; request non-confidential summary (licensing officer A. Corris)
nk_platform_foundational	Denman CJ, Senyukov VV, Somanchi SS, ... Lee DA, Cooper LJN	Membrane-bound IL-21 promotes sustained ex vivo proliferation of human natural killer cells	PLoS ONE	2012	10.1371/journal.pone.0030264	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0030264	no_open_pdf_added	Founding dataset for the mbIL21 feeder. d21: mbIL21 ~47,967-fold vs mbIL15 ~825-fold; mbIL21 INCREASES telomere length, no senescence to 6 wk; mbIL15 shortens telomeres, senesces wk 4-6. Rationale: IL-21 -> STAT3 -> hTERT
nk_platform_foundational	Somanchi SS, Lee DA (2009 ASH abstract)	Sustained ex vivo expansion of human peripheral blood NK cells using artificial APCs bearing membrane-bound IL-21	Blood (abstr 3030)	2009	10.1182/blood.v114.22.3030.3030	https://doi.org/10.1182/blood.v114.22.3030.3030	no_open_pdf_added	States the STAT3/telomerase rationale explicitly; K562 clone 4 (mbIL15) and clone 9 (+mbIL21) construction
nk_platform_methods	Naeimi Kararoudi M, Likhite S, Elmas E, ... Meyer K, Lee DA	Optimization and validation of CAR transduction into human primary NK cells using CRISPR and AAV	Cell Rep Methods	2022	10.1016/j.crmeth.2022.100236	https://pmc.ncbi.nlm.nih.gov/articles/PMC9243630/	no_open_pdf_added	The method transplanted into the gdT program. FC21 (K562 mbIL21) expansion upregulates HDR+NHEJ genes -> permissive editing window; electroporate Cas9/RNP d7; AAV6 300K MOI +20-30 min; refeed 24 h; refeeder 48 h and d7; CAR stable through expansion
nk_platform_methods	Naeimi Kararoudi M, Dolatshad H, Trikha P, ... Lee DA	Generation of knock-out primary and expanded human NK cells using Cas9 ribonucleoproteins	J Vis Exp	2018	10.3791/58237	https://pubmed.ncbi.nlm.nih.gov/29985369/	no_open_pdf_added	Video protocol for RNP editing of fresh and feeder-expanded NK cells
nk_platform_mechanism	Pereira MSF, Sorathia K, Sezgin Y, ... Lee DA, Naeimi Kararoudi M	Deletion of glycogen synthase kinase 3 beta reprograms NK cell metabolism	Cancers (Basel)	2023	10.3390/cancers15030705	https://pmc.ncbi.nlm.nih.gov/articles/PMC9913837/	no_open_pdf_added	IL-15 expansion -> GSK3b overexpression and dysfunction; mbIL21 feeder expansion MAINTAINS normal GSK3b. Key evidence that the cytokine/STAT choice sets metabolic fate
nk_platform_mechanism	Poznanski SM, Singh K, Ritchie TM, ... Ashkar AA	Metabolic flexibility determines human NK cell functional fate in the tumour microenvironment	Cell Metab	2021	10.1016/j.cmet.2021.03.023	https://doi.org/10.1016/j.cmet.2021.03.023	no_open_pdf_added	IL-21-based expansion metabolically reprograms NK cells to function in hostile TME; the basis for extending the logic to gdT
