axis	evidence	disease	manufacturing	engineered	authors	title	venue	year	cited	pmid	doi	pmcid	url	local_fulltext	status
nk_phenotype_states	preclinical	pan-cancer	yes	yes	Gao Y, Souza-Fonseca-Guimaraes F, Bald T, Ng SS, Young A, Ngiow SF, Rautela J, Straube J, Waddell N, Blake SJ, Yan J, Bartholin L, Lee JS, Vivier E, Takeda K, Messaoudene M, Zitvogel L, Teng MWL, Belz GT, Engwerda CR, Huntington ND, Nakamura K, Hölzel M, Smyth MJ.	Tumor immunoevasion by the conversion of effector NK cells into type 1 innate lymphoid cells	Nature immunology	2017	564	28759001	10.1038/ni.3800		https://pubmed.ncbi.nlm.nih.gov/28759001/		metadata_only
nk_phenotype_states	preclinical	pan-cancer	no	yes	Romee R, Schneider SE, Leong JW, Chase JM, Keppel CR, Sullivan RP, Cooper MA, Fehniger TA.	Cytokine activation induces human memory-like NK cells	Blood	2012	567	22983442	10.1182/blood-2012-04-419283	PMC3520618	https://pmc.ncbi.nlm.nih.gov/articles/PMC3520618/		oa_xml
nk_phenotype_states	mechanistic	pan-cancer	yes	no	Freud AG, Mundy-Bosse BL, Yu J, Caligiuri MA.	The Broad Spectrum of Human Natural Killer Cell Diversity	Immunity	2017	590	29166586	10.1016/j.immuni.2017.10.008	PMC5728700	https://pmc.ncbi.nlm.nih.gov/articles/PMC5728700/		oa_xml
nk_phenotype_states	mechanistic	pan-cancer	no	no	Rebuffet L, Melsen JE, Escalière B, Basurto-Lozada D, Bhandoola A, Björkström NK, Bryceson YT, Castriconi R, Cichocki F, Colonna M, Davis DM, Diefenbach A, Ding Y, Haniffa M, Horowitz A, Lanier LL, Malmberg KJ, Miller JS, Moretta L, Narni-Mancinelli E, O'Neill LAJ, Romagnani C, Ryan DG, Sivori S, Sun D, Vagne C, Vivier E.	High-dimensional single-cell analysis of human natural killer cell heterogeneity	Nature immunology	2024	207	38956378	10.1038/s41590-024-01883-0	PMC11291291	https://pmc.ncbi.nlm.nih.gov/articles/PMC11291291/	fulltext/rebuffet_2024_pmid38956378.xml	oa_xml
nk_phenotype_states	translational_human	gbm_cns	yes	yes	Shaim H, Shanley M, Basar R, Daher M, Gumin J, Zamler DB, Uprety N, Wang F, Huang Y, Gabrusiewicz K, Miao Q, Dou J, Alsuliman A, Kerbauy LN, Acharya S, Mohanty V, Mendt M, Li S, Lu J, Wei J, Fowlkes NW, Gokdemir E, Ensley EL, Kaplan M, Kassab C, Li L, Ozcan G, Banerjee PP, Shen Y, Gilbert AL, Jones CM, Bdiwi M, Nunez-Cortes AK, Liu E, Yu J, Imahashi N, Muniz-Feliciano L, Li Y, Hu J, Draetta G, Marin D, Yu D, Mielke S, Eyrich M, Champlin RE, Chen K, Lang FF, Shpall EJ, Heimberger AB, Rezvani K.	Targeting the αv integrin/TGF-β axis improves natural killer cell function against glioblastoma stem cells	The Journal of clinical investigation	2021	230	34138753	10.1172/jci142116	PMC8279586	https://pmc.ncbi.nlm.nih.gov/articles/PMC8279586/		oa_xml
nk_phenotype_states	process_method	hnscc_melanoma	yes	no	Balsamo M, Scordamaglia F, Pietra G, Manzini C, Cantoni C, Boitano M, Queirolo P, Vermi W, Facchetti F, Moretta A, Moretta L, Mingari MC, Vitale M.	Melanoma-associated fibroblasts modulate NK cell phenotype and antitumor cytotoxicity	Proceedings of the National Academy of Sciences of the United States of America	2009	253	19934056	10.1073/pnas.0906481106	PMC2791633	https://pmc.ncbi.nlm.nih.gov/articles/PMC2791633/		oa_xml
nk_phenotype_states	preclinical	lung	no	yes	Platonova S, Cherfils-Vicini J, Damotte D, Crozet L, Vieillard V, Validire P, André P, Dieu-Nosjean MC, Alifano M, Régnard JF, Fridman WH, Sautès-Fridman C, Cremer I.	Profound coordinated alterations of intratumoral NK cell phenotype and function in lung carcinoma	Cancer research	2011	406	21708957	10.1158/0008-5472.can-10-4179		https://pubmed.ncbi.nlm.nih.gov/21708957/		metadata_only
nk_phenotype_states	mechanistic	pan-cancer	yes	no	Dogra P, Rancan C, Ma W, Toth M, Senda T, Carpenter DJ, Kubota M, Matsumoto R, Thapa P, Szabo PA, Li Poon MM, Li J, Arakawa-Hoyt J, Shen Y, Fong L, Lanier LL, Farber DL.	Tissue Determinants of Human NK Cell Development, Function, and Residence	Cell	2020	366	32059780	10.1016/j.cell.2020.01.022	PMC7194029	https://pmc.ncbi.nlm.nih.gov/articles/PMC7194029/		oa_xml
nk_phenotype_states	preclinical	myeloma	yes	yes	Wagner JA, Rosario M, Romee R, Berrien-Elliott MM, Schneider SE, Leong JW, Sullivan RP, Jewell BA, Becker-Hapak M, Schappe T, Abdel-Latif S, Ireland AR, Jaishankar D, King JA, Vij R, Clement D, Goodridge J, Malmberg KJ, Wong HC, Fehniger TA.	CD56bright NK cells exhibit potent antitumor responses following IL-15 priming	The Journal of clinical investigation	2017	255	28972539	10.1172/jci90387	PMC5663359	https://pmc.ncbi.nlm.nih.gov/articles/PMC5663359/		oa_xml
nk_phenotype_states	clinical_trial	lymphoma_cll	yes	no	Shapiro RM, Birch GC, Hu G, Vergara Cadavid J, Nikiforow S, Baginska J, Ali AK, Tarannum M, Sheffer M, Abdulhamid YZ, Rambaldi B, Arihara Y, Reynolds C, Halpern MS, Rodig SJ, Cullen N, Wolff JO, Pfaff KL, Lane AA, Lindsley RC, Cutler CS, Antin JH, Ho VT, Koreth J, Gooptu M, Kim HT, Malmberg KJ, Wu CJ, Chen J, Soiffer RJ, Ritz J, Romee R.	Expansion, persistence, and efficacy of donor memory-like NK cells infused for posttransplant relapse	The Journal of clinical investigation	2022	118	35349491	10.1172/jci154334	PMC9151697	https://pmc.ncbi.nlm.nih.gov/articles/PMC9151697/	fulltext/shapiro_2022_pmid35349491.xml	oa_xml
nk_phenotype_states	preclinical	gi	yes	yes	Sun C, Xu J, Huang Q, Huang M, Wen H, Zhang C, Wang J, Song J, Zheng M, Sun H, Wei H, Xiao W, Sun R, Tian Z.	High NKG2A expression contributes to NK cell exhaustion and predicts a poor prognosis of patients with liver cancer	Oncoimmunology	2017	242	28197391	10.1080/2162402x.2016.1264562	PMC5283631	https://pmc.ncbi.nlm.nih.gov/articles/PMC5283631/		oa_xml
nk_phenotype_states	mechanistic	pan-cancer	no	no	Horowitz A, Strauss-Albee DM, Leipold M, Kubo J, Nemat-Gorgani N, Dogan OC, Dekker CL, Mackey S, Maecker H, Swan GE, Davis MM, Norman PJ, Guethlein LA, Desai M, Parham P, Blish CA.	Genetic and environmental determinants of human NK cell diversity revealed by mass cytometry	Science translational medicine	2013	475	24154599	10.1126/scitranslmed.3006702	PMC3918221	https://pmc.ncbi.nlm.nih.gov/articles/PMC3918221/		oa_xml
nk_phenotype_states	preclinical	pan-cancer	yes	no	Ni J, Wang X, Stojanovic A, Zhang Q, Wincher M, Bühler L, Arnold A, Correia MP, Winkler M, Koch PS, Sexl V, Höfer T, Cerwenka A.	Single-Cell RNA Sequencing of Tumor-Infiltrating NK Cells Reveals that Inhibition of Transcription Factor HIF-1α Unleashes NK Cell Activity	Immunity	2020	274	32445619	10.1016/j.immuni.2020.05.001		https://pubmed.ncbi.nlm.nih.gov/32445619/		metadata_only
nk_phenotype_states	translational_human	neuroblastoma_sarcoma;hnscc_melanoma	no	no	Netskar H, Pfefferle A, Goodridge JP, Sohlberg E, Dufva O, Teichmann SA, Brownlie D, Michaëlsson J, Marquardt N, Clancy T, Horowitz A, Malmberg KJ.	Pan-cancer profiling of tumor-infiltrating natural killer cells through transcriptional reference mapping	Nature immunology	2024	81	38956379	10.1038/s41590-024-01884-z	PMC11291284	https://pmc.ncbi.nlm.nih.gov/articles/PMC11291284/	fulltext/netskar_2024_pmid38956379.xml	oa_xml
nk_phenotype_states	process_method	pan-cancer	yes	no	Cichocki F, Cooley S, Davis Z, DeFor TE, Schlums H, Zhang B, Brunstein CG, Blazar BR, Wagner J, Diamond DJ, Verneris MR, Bryceson YT, Weisdorf DJ, Miller JS.	CD56dimCD57+NKG2C+ NK cell expansion is associated with reduced leukemia relapse after reduced intensity HCT	Leukemia	2016	193	26416461	10.1038/leu.2015.260	PMC4740203	https://pmc.ncbi.nlm.nih.gov/articles/PMC4740203/		oa_xml
nk_phenotype_states	translational_human	ovarian	yes	yes	Pesce S, Greppi M, Tabellini G, Rampinelli F, Parolini S, Olive D, Moretta L, Moretta A, Marcenaro E.	Identification of a subset of human natural killer cells expressing high levels of programmed death 1: A phenotypic and functional characterization	The Journal of allergy and clinical immunology	2017	395	27372564	10.1016/j.jaci.2016.04.025		https://pubmed.ncbi.nlm.nih.gov/27372564/		metadata_only
nk_phenotype_states	preclinical	pan-cancer	yes	yes	Woan KV, Kim H, Bjordahl R, Davis ZB, Gaidarova S, Goulding J, Hancock B, Mahmood S, Abujarour R, Wang H, Tuininga K, Zhang B, Wu CY, Kodal B, Khaw M, Bendzick L, Rogers P, Ge MQ, Bonello G, Meza M, Felices M, Huffman J, Dailey T, Lee TT, Walcheck B, Malmberg KJ, Blazar BR, Bryceson YT, Valamehr B, Miller JS, Cichocki F.	Harnessing features of adaptive NK cells to generate iPSC-derived NK cells for enhanced immunotherapy	Cell stem cell	2021	138	34525347	10.1016/j.stem.2021.08.013	PMC8642276	https://pmc.ncbi.nlm.nih.gov/articles/PMC8642276/		oa_xml
nk_phenotype_states	process_method	hnscc_melanoma	yes	no	Ali TH, Pisanti S, Ciaglia E, Mortarini R, Anichini A, Garofalo C, Tallerico R, Santinami M, Gulletta E, Ietto C, Galgani M, Matarese G, Bifulco M, Ferrone S, Colucci F, Moretta A, Kärre K, Carbone E.	Enrichment of CD56(dim)KIR + CD57 + highly cytotoxic NK cells in tumour-infiltrated lymph nodes of melanoma patients	Nature communications	2014	123	25472612	10.1038/ncomms6639	PMC4338526	https://pmc.ncbi.nlm.nih.gov/articles/PMC4338526/	fulltext/ali_2014_pmid25472612.xml	oa_xml
nk_phenotype_states	review	pan-cancer	no	no	Chiossone L, Dumas PY, Vienne M, Vivier E.	Natural killer cells and other innate lymphoid cells in cancer	Nature reviews. Immunology	2018	809	30209347	10.1038/s41577-018-0061-z		https://pubmed.ncbi.nlm.nih.gov/30209347/		metadata_only
nk_phenotype_states	review	pan-cancer	no	no	Bi J, Tian Z.	NK Cell Exhaustion	Frontiers in immunology	2017	272	28702032	10.3389/fimmu.2017.00760	PMC5487399	https://pmc.ncbi.nlm.nih.gov/articles/PMC5487399/	fulltext/bi_2017_pmid28702032.xml	oa_xml
