category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
pemetrexed_cdk46_direct	Sahebjam et al.	A phase 2 study of abemaciclib in patients with brain metastases secondary to non-small cell lung cancer or melanoma.	Neuro-oncology advances	2026	41768125	10.1093/noajnl/vdag005	PMC12936396	https://doi.org/10.1093/noajnl/vdag005		sahebjam_2026_pmid41768125.xml	pemetrexed;abemaciclib;nsclc;sclc;breast;clinical_trial;antimetabolite	fulltext_xml
pemetrexed_cdk46_direct	Terenziani et al.	CDK4/6 Inhibition Enhances the Efficacy of Standard Chemotherapy Treatment in Malignant Pleural Mesothelioma Cells.	Cancers	2022	36497412	10.3390/cancers14235925	PMC9739278	https://doi.org/10.3390/cancers14235925		terenziani_2022_pmid36497412.xml	pemetrexed;abemaciclib;mesothelioma;preclinical;mechanism	fulltext_xml
pemetrexed_cdk46_direct	Ke et al.	Combining a CDK4/6 Inhibitor With Pemetrexed Inhibits Cell Proliferation and Metastasis in Human Lung Adenocarcinoma.	Frontiers in oncology	2022	35686110	10.3389/fonc.2022.880153	PMC9172583	https://doi.org/10.3389/fonc.2022.880153		ke_2022_pmid35686110.xml	pemetrexed;ribociclib;nsclc;clinical_trial;preclinical;synergy;mechanism	fulltext_xml
pemetrexed_cdk46_direct	Kim et al.	Abemaciclib in Combination with Single-Agent Options in Patients with Stage IV Non-Small Cell Lung Cancer: A Phase Ib Study.	Clinical cancer research : an official journal of the American Association for Cancer Research	2018	30082474	10.1158/1078-0432.CCR-18-0651		https://doi.org/10.1158/1078-0432.CCR-18-0651			pemetrexed;abemaciclib;nsclc;sclc;myeloprotection;clinical_trial;preclinical;sequencing;antimetabolite	metadata_only
cdk46_chemo_lung_meso	Sreeram et al.	Pseudo-senescence induced by palbociclib does not sensitise pleural mesothelioma cells to combinations with senolytics.	Cell death & disease	2026	41963314	10.1038/s41419-026-08696-z	PMC13076679	https://doi.org/10.1038/s41419-026-08696-z		sreeram_2026_pmid41963314.xml	palbociclib;abemaciclib;mesothelioma;preclinical;synergy;mechanism	fulltext_xml
cdk46_chemo_lung_meso	Liu et al.	Survival benefit from abemaciclib in non-small cell lung cancer by Kirsten rat sarcoma-mutation gene expression subtype: retrospective analysis from the JUNIPER Trial.	Frontiers in oncology	2025	40231258	10.3389/fonc.2025.1461530	PMC11994929	https://doi.org/10.3389/fonc.2025.1461530		liu_2025_pmid40231258.xml	abemaciclib;nsclc;sclc;clinical_trial;immunotherapy	fulltext_xml
cdk46_chemo_lung_meso	Decaudin et al.	Evaluation of Combined Chemotherapy and Genomic-Driven Targeted Therapy in Patient-Derived Xenografts Identifies New Therapeutic Approaches in Squamous Non-Small-Cell Lung Cancer Patients.	Cancers	2024	39199558	10.3390/cancers16162785	PMC11352497	https://doi.org/10.3390/cancers16162785		decaudin_2024_pmid39199558.xml	palbociclib;nsclc;sclc;clinical_trial;preclinical;mechanism	fulltext_xml
cdk46_chemo_lung_meso	Costa et al.	Pharmacological inhibition of CDK4/6 impairs diffuse pleural mesothelioma 3D spheroid growth and reduces viability of cisplatin-resistant cells.	Frontiers in oncology	2024	39011477	10.3389/fonc.2024.1418951	PMC11246887	https://doi.org/10.3389/fonc.2024.1418951		costa_2024_pmid39011477.xml	palbociclib;ribociclib;abemaciclib;mesothelioma;clinical_trial;preclinical;synergy;mechanism	fulltext_xml
cdk46_chemo_lung_meso	Pujol et al.	Abemaciclib in Combination With Pembrolizumab for Stage IV KRAS-Mutant or Squamous NSCLC: A Phase 1b Study.	JTO clinical and research reports	2021	34746886	10.1016/j.jtocrr.2021.100234	PMC8551846	https://doi.org/10.1016/j.jtocrr.2021.100234		pujol_2021_pmid34746886.xml	abemaciclib;nsclc;sclc;breast;clinical_trial;preclinical;synergy;immunotherapy	fulltext_xml
cdk46_chemo_lung_meso	Son et al.	Synergistic Antitumor Effect of Taxanes and CDK4/6 Inhibitor in Lung Cancer Cells and Mice Harboring KRAS Mutations.	Anticancer research	2021	34593430	10.21873/anticanres.15296		https://doi.org/10.21873/anticanres.15296			abemaciclib;nsclc;preclinical;synergy	metadata_only
cdk46_chemo_lung_meso	Tolaney et al.	Abemaciclib plus trastuzumab with or without fulvestrant versus trastuzumab plus standard-of-care chemotherapy in women with hormone receptor-positive, HER2-positive advanced breast cancer (monarcHER): a randomised, open-label, phase 2 trial.	The Lancet. Oncology	2020	32353342	10.1016/S1470-2045(20)30112-1		https://doi.org/10.1016/S1470-2045(20)30112-1			abemaciclib;mesothelioma;breast;myeloprotection;clinical_trial;sequencing;mechanism	metadata_only
cdk46_chemo_lung_meso	Goldman et al.	A Randomized Phase III Study of Abemaciclib Versus Erlotinib in Patients with Stage IV Non-small Cell Lung Cancer With a Detectable KRAS Mutation Who Failed Prior Platinum-Based Therapy: JUNIPER.	Frontiers in oncology	2020	33194700	10.3389/fonc.2020.578756	PMC7649422	https://doi.org/10.3389/fonc.2020.578756		goldman_2020_pmid33194700.xml	abemaciclib;nsclc;sclc;clinical_trial;immunotherapy	fulltext_xml
cdk46_chemo_lung_meso	Fujimura et al.	Enhanced antitumor effect of alectinib in combination with cyclin-dependent kinase 4/6 inhibitor against RET-fusion-positive non-small cell lung cancer cells.	Cancer biology & therapy	2020	32835580	10.1080/15384047.2020.1806643	PMC7515507	https://doi.org/10.1080/15384047.2020.1806643			palbociclib;abemaciclib;nsclc;sclc;preclinical;synergy;mechanism	metadata_only
cdk46_chemo_lung_meso	Cao et al.	Combining CDK4/6 inhibition with taxanes enhances anti-tumor efficacy by sustained impairment of pRB-E2F pathways in squamous cell lung cancer.	Oncogene	2019	30700828	10.1038/s41388-019-0708-7		https://doi.org/10.1038/s41388-019-0708-7			palbociclib;nsclc;sclc;breast;preclinical;immunotherapy;mechanism	metadata_only
cdk46_chemo_lung_meso	Besse et al.	A phase 1b study of necitumumab in combination with abemaciclib in patients with stage IV non-small cell lung cancer.	Lung cancer (Amsterdam, Netherlands)	2019	31586771	10.1016/j.lungcan.2019.09.002		https://doi.org/10.1016/j.lungcan.2019.09.002			abemaciclib;nsclc;sclc;clinical_trial	metadata_only
cdk46_chemo_lung_meso	Lennerz et al.	A case report of primary cardiac sarcoma: a diagnostic and therapeutic challenge.	European heart journal. Case reports	2018	31020219	10.1093/ehjcr/yty143	PMC6426008	https://doi.org/10.1093/ehjcr/yty143		lennerz_2018_pmid31020219.xml	palbociclib;nsclc;sclc;breast;sequencing	fulltext_xml
cdk46_chemo_lung_meso	Gopalan et al.	CDK4/6 inhibition stabilizes disease in patients with p16-null non-small cell lung cancer and is synergistic with mTOR inhibition.	Oncotarget	2018	30647837	10.18632/oncotarget.26424	PMC6324768	https://doi.org/10.18632/oncotarget.26424		gopalan_2018_pmid30647837.xml	palbociclib;nsclc;sclc;clinical_trial;preclinical;synergy;mechanism	fulltext_xml
