category	evidence	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
immunotherapy	preclinical_synergy	Hung et al.	Pemetrexed potentiates γδ T cell-based immunotherapy in NSCLC through ATM-STING-NF-κB-mediated induction of NKG2D ligands.	International immunopharmacology	2026	42447803	10.1016/j.intimp.2026.117115		https://doi.org/10.1016/j.intimp.2026.117115			pemetrexed;folate_pathway;nsclc;preclinical	metadata_only
immunotherapy	preclinical_synergy	Kucukoner et al.	The Role of EZH2 ın Malıgnant Pleural Mesothelıoma and Beyond: Current Practıce and Future Perspectıves.	Current oncology reports	2026	42257802	10.1007/s11912-026-01754-x	PMC13246576	https://doi.org/10.1007/s11912-026-01754-x		kucukoner_2026_pmid42257802.xml	pemetrexed;immunotherapy;parp_ddr;bcl2_apoptosis;mesothelioma;preclinical;resistance	fulltext_xml
immunotherapy	clinical_landmark	Wu et al.	Five-year outcomes of pembrolizumab versus chemotherapy in Chinese patients with non-small-cell lung cancer and programmed cell death ligand 1 tumor proportion score ≥1%: KEYNOTE-042 China study.	International journal of cancer	2026	41474069	10.1002/ijc.70265	PMC12963706	https://doi.org/10.1002/ijc.70265		wu_2026_pmid41474069.xml	pemetrexed;carboplatin;immunotherapy;egfr_tki;alk_met;nsclc;clinical_trial	fulltext_xml
immunotherapy	clinical_landmark	Vukovac et al.	Complete response in disseminated EGFR-mutated lung adenocarcinoma through chemosensitivity-guided chemotherapy, osimertinib, and stereotactic ablative body radiotherapy: a case report.	Translational lung cancer research	2026	42433231	10.21037/tlcr-2026-1-0020	PMC13351874	https://doi.org/10.21037/tlcr-2026-1-0020			pemetrexed;immunotherapy;egfr_tki;radiosensitization;nsclc	metadata_only
immunotherapy	clinical_landmark	Ma et al.	Case Report: Successful conversion surgery following chemo-antiangiogenic therapy in a lung adenocarcinoma patient with active rheumatoid arthritis and rare EGFR mutation after immunotherapy-triggered flare.	Frontiers in oncology	2026	42339122	10.3389/fonc.2026.1795914	PMC13283880	https://doi.org/10.3389/fonc.2026.1795914		ma_2026_pmid42339122.xml	pemetrexed;carboplatin;immunotherapy;egfr_tki;antiangiogenic;mapk;nsclc	fulltext_xml
immunotherapy	clinical_landmark	Bojić et al.	Clinical Outcomes and Immune-Related Adverse Events in Metastatic Non-Squamous NSCLC Treated with First-Line Pembrolizumab-Chemotherapy: A Real-World Study from Serbia.	Current oncology (Toronto, Ont.)	2026	42187584	10.3390/curroncol33050267	PMC13205886	https://doi.org/10.3390/curroncol33050267		bojić_2026_pmid42187584.xml	pemetrexed;immunotherapy;nsclc	fulltext_xml
immunotherapy	clinical_landmark	Socinski et al.	Tiragolumab Plus Atezolizumab and Chemotherapy for Advanced Nonsquamous Non-Small Cell Lung Cancer: The Phase 3 SKYSCRAPER-06 Randomized Clinical Trial.	JAMA oncology	2026	42060297	10.1001/jamaoncol.2026.0818	PMC13133723	https://doi.org/10.1001/jamaoncol.2026.0818		socinski_2026_pmid42060297.xml	pemetrexed;cisplatin;carboplatin;immunotherapy;nsclc;clinical_trial	fulltext_xml
immunotherapy	clinical_landmark	Lin et al.	Maintenance therapy for metastatic non-squamous non-small cell lung cancer: efficacy and biomarker analysis of pemetrexed discontinuation.	Translational lung cancer research	2026	41808717	10.21037/tlcr-2025-aw-1244	PMC12969177	https://doi.org/10.21037/tlcr-2025-aw-1244		lin_2026_pmid41808717.xml	pemetrexed;immunotherapy;nsclc	fulltext_xml
immunotherapy	clinical_landmark	Yoshioka et al.	Atezolizumab + Chemotherapy for Advanced Non-Small Cell Lung Cancer in Japanese Clinical Practice (J-TAIL-2).	Cancer science	2026	41378717	10.1111/cas.70242	PMC12951125	https://doi.org/10.1111/cas.70242		yoshioka_2026_pmid41378717.xml	pemetrexed;cisplatin;carboplatin;immunotherapy;antiangiogenic;nsclc;clinical_trial	fulltext_xml
immunotherapy	preclinical_synergy	Zhang et al.	Cisplatin potentiates PD-L1 expression more robustly than pemetrexed in malignant pleural mesothelioma: Temporal dynamics revealed by cellular and xenograft analyses.	Pathology, research and practice	2025	40441085	10.1016/j.prp.2025.156048		https://doi.org/10.1016/j.prp.2025.156048			pemetrexed;cisplatin;immunotherapy;bcl2_apoptosis;mesothelioma;preclinical	metadata_only
immunotherapy	preclinical_synergy	Cavazzoni et al.	Correction: Cavazzoni et al. Pemetrexed Enhances Membrane PD-L1 Expression and Potentiates T Cell-Mediated Cytotoxicity by Anti-PD-L1 Antibody Therapy in Non-Small-Cell Lung Cancer. Cancers 2020, 12, 666.	Cancers	2025	40282559	10.3390/cancers17081254	PMC12025483	https://doi.org/10.3390/cancers17081254		cavazzoni_2025_pmid40282559.xml	pemetrexed;immunotherapy	fulltext_xml
immunotherapy	preclinical_synergy	Felip et al.	A randomised phase III study of bevacizumab and carboplatin-pemetrexed chemotherapy with or without atezolizumab as first-line treatment for advanced pleural mesothelioma: results of the ETOP 13-18 BEAT-meso trial.	Annals of oncology : official journal of the European Society for Medical Oncology	2025	39814199	10.1016/j.annonc.2024.12.014		https://doi.org/10.1016/j.annonc.2024.12.014			pemetrexed;carboplatin;immunotherapy;antiangiogenic;mesothelioma;clinical_trial;preclinical	metadata_only
immunotherapy	preclinical_synergy	Echepare et al.	DSTYK Inhibition Sensitizes NSCLC to Taxane-Based Chemotherapy.	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	2025	39536877	10.1016/j.jtho.2024.11.003		https://doi.org/10.1016/j.jtho.2024.11.003			pemetrexed;cisplatin;carboplatin;immunotherapy;mapk;nsclc;preclinical;resistance	metadata_only
immunotherapy	preclinical_synergy	Qiu et al.	Biomimetic polymeric nanoreactors with photooxidation-initiated therapies and reinvigoration of antigen-dependent and antigen-free immunity.	Biomaterials	2025	39405823	10.1016/j.biomaterials.2024.122884		https://doi.org/10.1016/j.biomaterials.2024.122884			pemetrexed;immunotherapy;bcl2_apoptosis;folate_pathway;preclinical	metadata_only
immunotherapy	preclinical_synergy	Hu et al.	Case Report: Tail-of-the-curve advantage from immune checkpoint inhibitor-anti-VEGF combination therapy: extended survival in a patient with metastatic lung adenocarcinoma.	Frontiers in medicine	2025	41458510	10.3389/fmed.2025.1714486	PMC12740750	https://doi.org/10.3389/fmed.2025.1714486		hu_2025_pmid41458510.xml	pemetrexed;cisplatin;immunotherapy;antiangiogenic;radiosensitization;repurposed;nsclc	fulltext_xml
immunotherapy	preclinical_synergy	Ge et al.	Overcoming therapeutic resistance in driver-negative NSCLC: Immunomodulatory mechanisms and clinical efficacy of Camrelizumab-chemotherapy combination in a real-world cohort.	Discover oncology	2025	40533655	10.1007/s12672-025-02926-0	PMC12176700	https://doi.org/10.1007/s12672-025-02926-0		ge_2025_pmid40533655.xml	pemetrexed;cisplatin;immunotherapy;nsclc;resistance	fulltext_xml
immunotherapy	clinical_landmark	Kogure et al.	Pembrolizumab and Pemetrexed for Older Patients With Nonsquamous NSCLC and Programmed Cell Death-Ligand 1 Tumor Proportion Scores of Less Than 50.	JTO clinical and research reports	2025	40007549	10.1016/j.jtocrr.2024.100784	PMC11850748	https://doi.org/10.1016/j.jtocrr.2024.100784		kogure_2025_pmid40007549.xml	pemetrexed;cisplatin;carboplatin;immunotherapy;egfr_tki;alk_met;nsclc;clinical_trial	fulltext_xml
immunotherapy	clinical_landmark	Yoshida et al.	Immunotherapy for pleural mesothelioma: from innovation to the frontlines of core clinical questions.	Discover oncology	2025	41342969	10.1007/s12672-025-04200-9	PMC12779787	https://doi.org/10.1007/s12672-025-04200-9		yoshida_2025_pmid41342969.xml	pemetrexed;cisplatin;immunotherapy;mesothelioma	fulltext_xml
