category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
convection_enhanced_delivery		Erratum to: Phase 1 dose-escalation trial using convection-enhanced delivery of radio-immunotheranostic 124I-Omburtamab for diffuse intrinsic pontine glioma	Neuro-oncology	2026	40489365	10.1093/neuonc/noaf138	PMC13128442	https://pmc.ncbi.nlm.nih.gov/articles/PMC13128442/			brainstem;convection_enhanced_delivery;dipg_dmg	metadata_only
convection_enhanced_delivery	Bihari S, Yang D, Mukherji D, Haggiagi A.	Diffuse Midline Gliomas: Clinical, Diagnostic, and Therapeutic Perspectives	Biomedicines	2026	42072474	10.3390/biomedicines14040934	PMC13113373	https://pmc.ncbi.nlm.nih.gov/articles/PMC13113373/		fulltext/bihari_2026_pmid42072474.xml	cell_therapy_delivery;convection_enhanced_delivery;dipg_dmg	fulltext_xml
convection_enhanced_delivery	Brown MK, Cai Z, Ganga-Sah Y, Alshafai L, Borlase S, Radchenko V, Gao A, Rutka JT, Reilly RM.	Treatment of Human Glioblastoma Multiforme in NRG Mice by Convection-Enhanced Delivery of EGFR-Targeted or Nontargeted Auger Electron-Emitting 197gHg-Labeled Gold Nanoparticles	Journal of nuclear medicine : official publication, Society of Nuclear Medicine	2026	42276782	10.2967/jnumed.125.271785		https://doi.org/10.2967/jnumed.125.271785			convection_enhanced_delivery;nanoparticle	metadata_only
convection_enhanced_delivery	Fredricks NS, Harkins M, Price A, Morden FT, Dewan MC.	Protocols and safety profile of convection enhanced delivery in pediatric patients: a systematic review	Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery	2026	41540137	10.1007/s00381-025-07121-8	PMC12808288	https://pmc.ncbi.nlm.nih.gov/articles/PMC12808288/		fulltext/fredricks_2026_pmid41540137.xml	brainstem;convection_enhanced_delivery;dipg_dmg;systemic_bbb_pharmacology	fulltext_xml
convection_enhanced_delivery	Heiss JD, Ehrlich DJ, Lungu C, Choi JY, Scott G, Dustin I, Hammoud DA, Herscovitch P, Lonser RR, Zaghloul KA, Bankiewicz K.	A Phase 1 Study of Convection-Enhanced Delivery of Intraputaminal AAV2-GDNF in Advanced Parkinson's Disease	Movement disorders : official journal of the Movement Disorder Society	2026	42405844	10.1002/mds.70393		https://doi.org/10.1002/mds.70393			convection_enhanced_delivery;viral_vector;related_disease	metadata_only
convection_enhanced_delivery	McDaid J, Bailes JE, Jha NK, Bobustuc G, Berlet R, Kessinger C, Whitcomb E, Lee JM, Aksenov DP, Walker M, Azapagic A, Bookwalter J, Ullah A, Sant H, Shea J, Gale BK.	Efficacy of local convection enhanced delivery of chemotherapy using an intracerebral osmotic pump in a rat model of glioblastoma	Frontiers in oncology	2026	41952678	10.3389/fonc.2026.1775053	PMC13055234	https://pmc.ncbi.nlm.nih.gov/articles/PMC13055234/		fulltext/mcdaid_2026_pmid41952678.xml	convection_enhanced_delivery;implant_depot_device;nanoparticle;systemic_bbb_pharmacology	fulltext_xml
convection_enhanced_delivery	Sabri ME, Moghaddasi L, Wilson P, Saran F, Bezak E.	Feasibility of convection-enhanced delivery of unlabeled 225Ac for glioblastoma: Transport, dosimetry, and clonogenic survival modeling	Medical physics	2026	42482373	10.1002/mp.70566		https://doi.org/10.1002/mp.70566			convection_enhanced_delivery;imaging_dosimetry_modeling;radiation_combined;surgical_access	metadata_only
convection_enhanced_delivery	Sbergio SG, Liang H, Chen L, Canty L, Carette S, Pajovic S, Sabha N, Anguraj Vadivel AK, Beilhartz GL, Melnyk RA, Hawkins C.	Tumor-Targeted pan-RAS Inhibition as a Novel Biologic Therapy for Diffuse Midline Glioma	Neuro-oncology	2026	42371788	10.1093/neuonc/noag148		https://doi.org/10.1093/neuonc/noag148			brainstem;convection_enhanced_delivery;dipg_dmg;intrathecal_csf;pediatric_hgg	metadata_only
convection_enhanced_delivery	Zhou Y, Zhu L, Liu X, Ji C, Yao J, Chen D, Yao Y.	Convection-Enhanced Delivery of Tumor-Infiltrating Lymphocytes Enhances Intratumoral Distribution and Therapeutic Efficacy in an Orthotopic Rat Glioma Model	Biomedicines	2026	42511941	10.3390/biomedicines14071466		https://doi.org/10.3390/biomedicines14071466			cell_therapy_delivery;convection_enhanced_delivery;systemic_bbb_pharmacology	metadata_only
convection_enhanced_delivery	Bander ED, Garton ALA, Pasquini L, Reiner AS, Yildirim O, Ilica AT, Donzelli M, Haque S, Souweidane MM.	Patterns of relapse in diffuse intrinsic pontine glioma after convection-enhanced delivery of 124I-omburtamab	Neuro-oncology advances	2025	40709014	10.1093/noajnl/vdaf128	PMC12288026	https://pmc.ncbi.nlm.nih.gov/articles/PMC12288026/		fulltext/bander_2025_pmid40709014.xml	brainstem;convection_enhanced_delivery;dipg_dmg;radiation_combined	fulltext_xml
convection_enhanced_delivery	Dimitrov T, Munjal V, O'Brien A, Rocco MT, Karkhah A, Ceyhan KE, Prevedello D, Samaranch L.	AAV9-mediated transduction of memory circuits following convection-enhanced delivery into the olfactory bulbs	Gene therapy	2025	40715486	10.1038/s41434-025-00555-4	PMC12714586	https://pmc.ncbi.nlm.nih.gov/articles/PMC12714586/		fulltext/dimitrov_2025_pmid40715486.xml	convection_enhanced_delivery;viral_vector;related_disease	fulltext_xml
