category	authors	title	venue	year	pmid	doi	pmcid	url	local_fulltext	supp_pdf	topics	status
foundational_platform	Staerz UD, Bevan MJ.	Hybrid hybridoma producing a bispecific monoclonal antibody that can focus effector T-cell activity	Proceedings of the National Academy of Sciences of the United States of America	1986	2869486	10.1073/pnas.83.5.1453	PMC323094	https://pmc.ncbi.nlm.nih.gov/articles/PMC323094/			geo:US;preclinical_or_early	pmid_only
foundational_platform	Mezzanzanica D, Canevari S, Ménard S, Pupa SM, Tagliabue E, Lanzavecchia A, Colnaghi MI.	Human ovarian carcinoma lysis by cytotoxic T cells targeted by bispecific monoclonal antibodies: analysis of the antibody components	International journal of cancer	1988	3258590	10.1002/ijc.2910410422		https://doi.org/10.1002/ijc.2910410422			geo:Europe|US;preclinical_or_early	pmid_only
foundational_platform	Duke-Cohan JS, Morimoto C, Schlossman SF.	Targeting of an activated T-cell subset using a bispecific antibody-toxin conjugate directed against CD4 and CD26	Blood	1993	8104537	10.1182/blood.v82.7.2224.2224		https://doi.org/10.1182/blood.v82.7.2224.2224			geo:Europe|US;preclinical_or_early	pmid_only
foundational_platform	Duke-Cohan JS, Morimoto C, Schlossman SF.	Depletion of the helper/inducer (memory) T cell subset using a bispecific antibody-toxin conjugate directed against CD4 and CD29	Transplantation	1993	7504344	10.1097/00007890-199311000-00027		https://doi.org/10.1097/00007890-199311000-00027			geo:Europe|US;preclinical_or_early	pmid_only
foundational_platform	François C, Boeffard F, Jacques Y.	Chemically engineered bispecific antibody directed at the p55 and p75 chains of the human interleukin 2 receptor: specific high-affinity cross-linking of p55/p75 complexes and high blocking effect on IL2-induced T cell proliferation	Transplantation proceedings	1993	8438495			https://pubmed.ncbi.nlm.nih.gov/8438495/			geo:Europe;preclinical_or_early	pmid_only
foundational_platform	Weiner GJ, Kostelny SA, Hillstrom JR, Cole MS, Link BK, Wang SL, Tso JY.	The role of T cell activation in anti-CD3 x antitumor bispecific antibody therapy	Journal of immunology (Baltimore, Md. : 1950)	1994	8133049	10.4049/jimmunol.152.5.2385		https://doi.org/10.4049/jimmunol.152.5.2385			preclinical_or_early	pmid_only
foundational_platform	Demanet C, Brissinck J, Leo O, Moser M, Thielemans K.	Role of T-cell subsets in the bispecific antibody (anti-idiotype x anti-CD3) treatment of the BCL1 lymphoma	Cancer research	1994	8187084			https://pubmed.ncbi.nlm.nih.gov/8187084/			geo:Europe;preclinical_or_early	pmid_only
foundational_platform	Belani R, Weiner GJ.	T cell activation and cytokine production in anti-CD3 bispecific antibody therapy	Journal of hematotherapy	1995	8581375	10.1089/scd.1.1995.4.395		https://doi.org/10.1089/scd.1.1995.4.395			geo:US;preclinical_or_early	pmid_only
foundational_platform	Canevari S, Mezzanzanica D, Mazzoni A, Negri DR, Ramakrishna V, Bolhuis RL, Colnaghi MI, Bolis G.	Bispecific antibody targeted T cell therapy of ovarian cancer: clinical results and future directions	Journal of hematotherapy	1995	8581379	10.1089/scd.1.1995.4.423		https://doi.org/10.1089/scd.1.1995.4.423			geo:Europe;preclinical_or_early	pmid_only
foundational_platform	Moreno MB, Titus JA, Cole MS, Tso JY, Le N, Paik CH, Bakács T, Zacharchuk CM, Segal DM, Wunderlich JR.	Bispecific antibodies retarget murine T cell cytotoxicity against syngeneic breast cancer in vitro and in vivo	Cancer immunology, immunotherapy : CII	1995	7728777	10.1007/bf01517350	PMC11037834	https://pmc.ncbi.nlm.nih.gov/articles/PMC11037834/			geo:US;preclinical_or_early	pmid_only
