chr1	start1	end1	chr2	start2	end2	CD19_rep1_RawCC	CD19_rep2_RawCC	HA_rep1_RawCC	HA_rep2_RawCC	logFC	PValue	FDR
chr1	960000	970000	chr1	990000	1000000	35	40	134	178	1.67951604192568	7.75012948273775e-06	0.0140005760563694
chr1	960000	970000	chr1	1000000	1010000	20	0	62	68	2.38476591129442	9.78703784383478e-07	0.0025366361256392
chr1	970000	980000	chr1	990000	1000000	61	61	246	307	1.81040568119261	1.70601661169667e-07	0.000581671760532813
chr1	970000	980000	chr1	1000000	1010000	29	18	115	111	1.91913013266177	2.13303575161372e-06	0.00486615734155714
chr1	1590000	1600000	chr1	1660000	1670000	99	72	15	35	-2.12403367066649	3.02550014406226e-07	0.000940578905470842
chr1	1770000	1780000	chr1	1800000	1810000	0	0	47	54	8.49465727954701	1.14979469496748e-12	1.87016267356797e-08
chr1	1780000	1790000	chr1	1800000	1810000	0	0	39	47	8.26262161548017	3.05050786949247e-12	4.14592444182864e-08
chr1	5380000	5390000	chr1	5400000	5410000	50	24	0	0	-8.37330527215629	1.12950467755477e-12	1.84875332568988e-08
chr1	5380000	5390000	chr1	5420000	5430000	44	24	0	0	-8.25834939712915	8.5065285593058e-12	1.01314114172522e-07
chr1	5380000	5390000	chr1	5430000	5440000	41	28	0	0	-8.29120994964553	4.77281706880186e-12	6.04772258984863e-08
chr1	5380000	5390000	chr1	5440000	5450000	47	30	6	3	-3.39330846735218	2.70410195038569e-08	0.000119754947755104
chr1	5390000	5400000	chr1	5420000	5430000	34	16	0	0	-7.80964124076018	4.48464714237551e-09	2.53205441996489e-05
chr1	5390000	5400000	chr1	5430000	5440000	37	22	0	0	-8.05891389003341	1.46107335727725e-10	1.25812761145442e-06
chr1	5400000	5410000	chr1	5430000	5440000	33	29	0	0	-8.15119531193505	4.07682869428414e-11	4.0754457918763e-07
chr1	5410000	5420000	chr1	5430000	5440000	47	41	0	0	-8.65463223629511	1.05248964767832e-14	3.02638436452992e-10
chr1	5410000	5420000	chr1	5440000	5450000	33	17	0	5	-3.58874803793032	2.65845439292984e-06	0.00578520005927897
chr1	5420000	5430000	chr1	5440000	5450000	40	41	6	8	-2.87604144601177	4.56794389426799e-07	0.00133922294449476
chr1	5420000	5430000	chr1	5450000	5460000	20	30	2	2	-3.93828244707428	4.51594280470991e-07	0.00132513542508168
chr1	5430000	5440000	chr1	5450000	5460000	60	57	14	6	-2.88673914322302	6.94757218498876e-09	3.72068415662432e-05
chr1	5440000	5450000	chr1	5460000	5470000	49	27	5	10	-2.65649792274057	4.44419557858673e-06	0.00873197787739818
chr1	5440000	5450000	chr1	5480000	5490000	32	27	6	6	-2.62506123577892	2.42616302836353e-05	0.0347389093954231
chr1	5450000	5460000	chr1	5470000	5480000	64	53	5	7	-3.61127090464467	2.56090922152041e-11	2.67859741772902e-07
chr1	5450000	5460000	chr1	5480000	5490000	32	31	5	5	-2.98333204772723	1.82302677590978e-06	0.00421820816876238
chr1	5720000	5730000	chr1	5740000	5750000	22	36	0	0	-8.08854306098094	1.03193442697228e-10	9.262408729075e-07
